Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"BRYANT ELEMENTARY SCHOOL 13910 Nine Eagles Dr., Tampa, FL 33626",                                                                                                    ,29,HILLSBOROUGH,527,BRYANT ELEMENTARY SCHOOL,613,800,NA,measle_turquoise,C,C,B,B,A,B,B,A,B,B,B,B,A,C,C,NO,1,72,33,2,YES,N
"FOLSOM ELEMENTARY SCHOOL 9855 Harney Rd., Thonotosassa, FL 33592",                                                                                                    ,29,HILLSBOROUGH,1471,FOLSOM ELEMENTARY SCHOOL,441,800,NA,measle_turquoise,C,B,A,C,A,B,C,B,B,C,C,C,C,C,C,NO,1,90,64,4,YES,N
"WEST ORANGE HIGH 1625 Beulah Rd., Winter Garden, FL 34787",                                                                                                    ,48,ORANGE,1511,WEST ORANGE HIGH,Pending,Pending,Pending,small_yellow,B,A,A,A,A,A,A,B,A,A,A,A,A,B,C,NO,1,52,59,5,YES,N
"PERKINS ELEMENTARY SCHOOL , , FL",                                                                                                    ,52,PINELLAS,1471,PERKINS ELEMENTARY SCHOOL,605,800,NA,small_green,A,A,A,A,A,,,,,,,,,,,NO,2,77,96,5,YES,N
"SOUTH MCKEEL ACADEMY ,Lakeland, FL, 00000-0000",                                                                                                    ,53,POLK,1692,SOUTH MCKEEL ACADEMY,538,800,NA,small_green,A,A,A,A,A,A,A,C,,,,,,,,YES,1,14,21,4,NO,N
"STRAWBERRY CREST HIGH SCHOOL , BROOKSVILLE, FL, 34601-2397",                                                                                                    ,29,HILLSBOROUGH,93,STRAWBERRY CREST HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,A,A,A,A,A,A,B,A,B,C,C,C,NO,1,75,60,4,NO,N
"RIVER HALL ELEMENTARY SCHOOL , BROOKSVILLE, FL, 34601-2397",                                                                                                    ,36,LEE,93,RIVER HALL ELEMENTARY SCHOOL,455,800,NA,small_yellow,B,B,A,B,A,B,A,B,A,A,A,A,A,A,C,NO,1,39,40,2,YES,N
"GULF TRACE ELEMENTARY SCHOOL , BROOKSVILLE, FL, 34601-2397",                                                                                                    ,51,PASCO,93,GULF TRACE ELEMENTARY SCHOOL,493,800,NA,small_green,A,A,B,A,A,B,,,,,,,,,,YES,4,84,94,5,YES,N
"MIAMI SPRINGS ELEMENTARY SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,13,DADE,3381,MIAMI SPRINGS ELEMENTARY SCHOOL,495,800,YES,small_purple,D,C,B,C,C,C,D,C,C,B,A,C,C,C,C,NO,1,82,53,1,YES,N
"PIZZO ELEMENTARY SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,29,HILLSBOROUGH,3381,PIZZO ELEMENTARY SCHOOL,504,800,NA,measle_turquoise,C,C,C,D,C,C,C,B,C,C,C,D,C,D,D,NO,1,97,97,5,YES,N
"PLANT HIGH SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,29,HILLSBOROUGH,3411,PLANT HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,C,A,A,B,C,B,B,C,C,C,D,D,NO,1,90,98,5,YES,N
"ELBRIDGE GALE ELEMENTARY SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,50,PALM BEACH,3361,ELBRIDGE GALE ELEMENTARY SCHOOL,520,800,NA,small_green,A,B,A,A,A,A,C,A,B,A,A,A,C,C,B,NO,2,68,37,1,YES,N
"IMAGINE SCHOOLS CHANCELLOR CAMPUS , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,50,PALM BEACH,3381,IMAGINE SCHOOLS CHANCELLOR CAMPUS,561,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,NO,1,58,11,4,YES,N
"WESLEY CHAPEL HIGH SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,51,PASCO,63,WESLEY CHAPEL HIGH SCHOOL,Pending,Pending,Pending,small_green,A,A,B,A,A,A,A,A,A,A,N,,,,,NO,1,47,49,4,NO,N
