District Number,District Name,School Number,Address,website,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
29,HILLSBOROUGH,59,"FISHHAWK CREEK ELEMENTARY SCHOOL, 16815 DORMAN RD, LITHIA, FL, 33547-1795",http://www.sdhc.k12.fl.us/,FISHHAWK CREEK ELEMENTARY SCHOOL,593,800,NA,small_green,A,A,A,A,A,A,A,A,A,,,,,,,NO,1,11,26,4,NO,N
29,HILLSBOROUGH,60,"MACFARLANE PARK ELEMENTARY MAGNET SCHOOL, 1721 N MACDILL AVE, TAMPA, FL, 33607-3221",http://www.sdhc.k12.fl.us/,MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,556,800,NA,small_green,A,A,A,A,A,A,A,A,A,,,,,,,NO,1,32,62,4,NO,N
29,HILLSBOROUGH,65,"COLLINS ELEMENTARY SCHOOL, 12424 SUMMERFIELD BLVD, RIVERVIEW, FL, 33579-7709",http://www.sdhc.k12.fl.us/,COLLINS ELEMENTARY SCHOOL,538,800,NA,small_green,A,A,A,A,A,A,A,B,,,,,,,,NO,1,39,61,4,NO,N
29,HILLSBOROUGH,69,"TURNER ELEMENTARY SCHOOL, 9190 IMPERIAL OAK BLVD, TAMPA, FL, 33647-3291",http://www.sdhc.k12.fl.us/,TURNER ELEMENTARY SCHOOL,544,800,NA,small_green,A,A,A,A,A,A,A,B,,,,,,,,NO,1,25,58,4,NO,N
29,HILLSBOROUGH,72,"DOBY ELEMENTARY SCHOOL, 6720 COVINGTON GARDEN DR, APOLLO BEACH, FL, 33572-1534",http://www.sdhc.k12.fl.us/,DOBY ELEMENTARY SCHOOL,553,800,NA,small_green,A,A,B,A,A,A,C,,,,,,,,,NO,1,52,45,4,NO,N
29,HILLSBOROUGH,81,"ALEXANDER ELEMENTARY SCHOOL, 5602 N LOIS AVE, TAMPA, FL, 33614-5555",http://www.sdhc.k12.fl.us/,ALEXANDER ELEMENTARY SCHOOL,532,800,NA,small_green,A,A,A,A,A,A,A,A,B,B,B,B,C,C,D,NO,1,91,94,4,YES,N
29,HILLSBOROUGH,85,"STOWERS ELEMENTARY SCHOOL, 13915 BARRINGTON STOWERS DR, LITHIA, FL, 33547-3946",http://www.sdhc.k12.fl.us/,STOWERS ELEMENTARY SCHOOL,581,800,NA,small_green,A,A,A,A,,,,,,,,,,,,NO,1,28,39,4,NO,N
29,HILLSBOROUGH,86,"BARRINGTON MIDDLE SCHOOL, 5925 VILLAGE CENTER DR, LITHIA, FL, 33547-3943",http://www.sdhc.k12.fl.us/,BARRINGTON MIDDLE SCHOOL,616,900,NA,small_green,A,A,A,B,,,,,,,,,,,,NO,2,42,46,4,NO,N
29,HILLSBOROUGH,100,"DEER PARK ELEMENTARY, 11605 CITRUS PARK DR, TAMPA, FL, 33626-2631",www.deerpark.mysdhc.org                                                                             ,DEER PARK ELEMENTARY,562,800,NA,small_green,A,A,A,A,A,A,A,,,,,,,,,NO,1,23,43,4,NO,N
29,HILLSBOROUGH,102,"HAMMOND ELEMENTARY SCHOOL, 8008 N MOBLEY RD, ODESSA, FL, 33556-2402",http://www.sdhc.k12.fl.us/,HAMMOND ELEMENTARY SCHOOL,595,800,NA,small_green,A,A,A,A,A,A,,,,,,,,,,NO,1,18,29,4,NO,N
29,HILLSBOROUGH,121,"ANDERSON ELEMENTARY SCHOOL, 3910 W FAIR OAKS AVE, TAMPA, FL, 33611-2229",http://www.sdhc.k12.fl.us/,ANDERSON ELEMENTARY SCHOOL,543,800,NA,small_green,A,B,B,A,A,A,A,A,B,A,A,B,B,A,C,NO,1,60,49,4,YES,N
29,HILLSBOROUGH,122,"USF/PATEL PARTNERSHIP ELEMENTARY, 11801 USF BULL RUN ST, TAMPA, FL, 33617-5103",http://www.sdhc.k12.fl.us/,USF/PATEL PARTNERSHIP ELEMENTARY,545,800,NA,small_green,A,B,B,B,A,,,,,,,,,,,NO,1,84,85,4,YES,N
29,HILLSBOROUGH,141,"APOLLO BEACH ELEMENTARY SCHOOL, 501 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2117",http://www.sdhc.k12.fl.us/,APOLLO BEACH ELEMENTARY SCHOOL,541,800,NA,small_green,A,A,B,B,A,B,A,B,B,B,A,A,B,A,B,NO,1,35,24,4,NO,N
29,HILLSBOROUGH,161,"BALLAST POINT ELEMENTARY SCHOOL, 2802 W BALLAST POINT BLVD, TAMPA, FL, 33611-4004",http://www.sdhc.k12.fl.us/,BALLAST POINT ELEMENTARY SCHOOL,605,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,NO,1,34,38,4,NO,N
29,HILLSBOROUGH,201,"BENITO MIDDLE SCHOOL, 10101 CROSS CREEK BLVD, TAMPA, FL, 33647-2575",http://www.sdhc.k12.fl.us/,BENITO MIDDLE SCHOOL,624,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,NO,2,46,65,4,NO,N
29,HILLSBOROUGH,361,"BEVIS ELEMENTARY SCHOOL, 5720 OSPREY RIDGE DR, LITHIA, FL, 33547-3830",http://www.sdhc.k12.fl.us/,BEVIS ELEMENTARY SCHOOL,677,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,N,,,NO,1,9,21,4,NO,N
29,HILLSBOROUGH,527,"BRYANT ELEMENTARY SCHOOL, 13910 NINE EAGLES DR, TAMPA, FL, 33626-3074",http://www.sdhc.k12.fl.us/,BRYANT ELEMENTARY SCHOOL,613,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,N,,,,,NO,1,9,30,4,NO,N
29,HILLSBOROUGH,651,"BURNS MIDDLE SCHOOL, 615 BROOKER RD, BRANDON, FL, 33511-6944",http://www.sdhc.k12.fl.us/,BURNS MIDDLE SCHOOL,631,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,NO,2,34,38,4,NO,N
29,HILLSBOROUGH,681,"CAHOON ELEMENTARY MAGNET SCHOOL, 2312 E YUKON ST, TAMPA, FL, 33604-2107",http://www.sdhc.k12.fl.us/,CAHOON ELEMENTARY MAGNET SCHOOL,543,800,NA,small_green,A,A,A,A,A,B,A,D,C,C,C,D,C,C,D,NO,1,85,78,4,YES,N
29,HILLSBOROUGH,701,"CARROLLWOOD ELEMENTARY SCHOOL, 3516 MCFARLAND RD, TAMPA, FL, 33618-3922",http://www.sdhc.k12.fl.us/,CARROLLWOOD ELEMENTARY SCHOOL,564,800,NA,small_green,A,A,A,A,A,A,A,A,B,A,A,A,B,C,B,NO,1,41,47,4,NO,N
29,HILLSBOROUGH,772,"CHILES ELEMENTARY SCHOOL, 16541 TAMPA PALMS BLVD W, TAMPA, FL, 33647-2762",http://www.sdhc.k12.fl.us/,CHILES ELEMENTARY SCHOOL,591,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,N,,,,NO,1,33,60,4,NO,N
29,HILLSBOROUGH,802,"CIMINO ELEMENTARY SCHOOL, 4329 CULBREATH RD, VALRICO, FL, 33596-7427",http://www.sdhc.k12.fl.us/,CIMINO ELEMENTARY SCHOOL,577,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,N,,,,,NO,1,29,40,4,NO,N
29,HILLSBOROUGH,851,"CLARK ELEMENTARY SCHOOL, 19002 WOOD SAGE DR, TAMPA, FL, 33647-3004",http://www.sdhc.k12.fl.us/,CLARK ELEMENTARY SCHOOL,613,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,NO,1,43,68,4,NO,N
29,HILLSBOROUGH,921,"COLEMAN MIDDLE SCHOOL, 1724 S MANHATTAN AVE, TAMPA, FL, 33629-5620",http://www.sdhc.k12.fl.us/,COLEMAN MIDDLE SCHOOL,690,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,NO,2,21,29,4,NO,N
