ï»¿district_number,district_name,school_number,school_name,total_points_2013,scale,did_school_benefit,,grade_2013,grade_2012,grade_2011,grade_2010,grade_2009,grade_2008,grade_2007,grade_2006,grade_2005,grade_2004,grade_2003,grade_2002,grade_2001,grade_2000,grade_1999,charter,school_type,reduced_lunch,minority,region,title_I,alt_ese_code,full_address
29,HILLSBOROUGH,151,ALONSO HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,A,B,B,B,A,C,B,B,B,C,N,,,,NO,3,54,63,4,NO,N,"ALONSO HIGH SCHOOL, 8302 MONTAGUE ST , TAMPA FL 33635-6014"
29,HILLSBOROUGH,131,ARMWOOD HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,C,B,C,D,C,D,C,D,C,C,C,C,C,C,NO,3,77,62,4,YES,N,"ARMWOOD HIGH SCHOOL, 12000 E US HIGHWAY 92 , SEFFNER FL 33584-3418"
29,HILLSBOROUGH,281,BLAKE HIGH SCHOOL-MAGNET,Pending,Pending,Pending,measle_gray,Pending,B,B,A,D,D,D,C,C,C,D,C,C,C,C,NO,3,60,70,4,YES,N,"BLAKE HIGH SCHOOL-MAGNET, 1701 N BOULEVARD , TAMPA FL 33607-3703"
29,HILLSBOROUGH,4141,BLOOMINGDALE HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,A,B,B,B,A,B,B,B,B,A,B,B,A,C,NO,3,34,40,4,NO,N,"BLOOMINGDALE HIGH SCHOOL, 1700 BLOOMINGDALE AVE , VALRICO FL 33596-6220"
29,HILLSBOROUGH,291,BRANDON HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,B,A,B,C,C,C,B,C,C,B,C,C,C,C,NO,3,56,56,4,NO,N,"BRANDON HIGH SCHOOL, 1101 VICTORIA ST , BRANDON FL 33510-4197"
29,HILLSBOROUGH,6634,BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,A,A,A,D,C,,,,,,,,,,YES,3,43,70,4,NO,N,"BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL, 10948 N CENTRAL AVE , TAMPA FL 33612-6604"
29,HILLSBOROUGH,4562,CAMINITI EXCEPTIONAL CENTER,Pending,Pending,Pending,measle_gray,Pending,F,,,,,,,,,,,,,,NO,4,70,54,4,NO,E,"CAMINITI EXCEPTIONAL CENTER, 2600 W HUMPHREY ST , TAMPA FL 33614-1825"
29,HILLSBOROUGH,761,CHAMBERLAIN HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,B,A,C,D,C,D,C,C,C,C,C,C,C,C,NO,3,70,67,4,YES,N,"CHAMBERLAIN HIGH SCHOOL, 9401 N BOULEVARD , TAMPA FL 33612-7839"
29,HILLSBOROUGH,1291,DURANT HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,A,B,B,B,B,B,B,B,B,B,A,C,C,C,NO,3,44,40,4,NO,N,"DURANT HIGH SCHOOL, 4748 COUGAR PATH , PLANT CITY FL 33567-3002"
29,HILLSBOROUGH,1322,EAST BAY HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,B,B,A,D,C,C,D,C,C,C,D,C,C,C,NO,3,57,55,4,NO,N,"EAST BAY HIGH SCHOOL, 7710 OLD BIG BEND RD , GIBSONTON FL 33534-5815"
29,HILLSBOROUGH,1541,FREEDOM HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,B,B,B,C,A,B,B,B,B,N,,,,,NO,3,51,58,4,NO,N,"FREEDOM HIGH SCHOOL, 17410 COMMERCE PARK BLVD , TAMPA FL 33647-3500"
