School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score,Marker_Type,address
2012,644,DeKalb County,3056,Flat Shoals Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,35.8,6.6,6.8,0.5,0,0.5,49.7,small_red,"Flat Shoals Elementary School, 3226 Flat Shoals Rd, Decatur, GA, 30034-1301"
2012,644,DeKalb County,409,Ronald E McNair Discover Learning Academy Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.1,7.6,8.3,0.5,0,0.5,50.5,small_red,"Ronald E McNair Discover Learning Academy Elementary School, 2162 Second Ave, Decatur, GA, 30032-5259"
2012,644,DeKalb County,2059,Indian Creek Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,34.6,9,6.8,1,0,1,51.4,small_red,"Indian Creek Elementary School, 724 N Indian Creek Dr , Clarkston, GA, 30021-2346"
2012,644,DeKalb County,3061,Meadowview Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.1,7.4,4.5,1,0,1,53,small_red,"Meadowview Elementary School, 1879 Wee Kirk Rd SE , Atlanta, GA, 30316-4435"
2012,644,DeKalb County,107,Flat Rock Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.1,7.2,7.5,1,0,1,53.8,small_red,"Flat Rock Elementary School, 4603 Evans Mill Rd , Lithonia, GA, 30038-4033"
2012,625,Chatham County,4056,Haven Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.8,5.7,4.5,1,0,1,54,small_red,"Haven Elementary School, 5111 Dillon Ave , Savannah, GA, 31405-6507"
2012,669,Hall County,5052,Lyman Hall Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.6,7.2,4.5,0.5,0,0.5,54.8,small_red,"Lyman Hall Elementary School, 2150 Memorial Park Dr , Gainesville, GA, 30504-5879"
2012,644,DeKalb County,2060,Knollwood Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.6,8.1,6.8,1,0,1,56.5,small_purple,"Knollwood Elementary School, 3039 Santa Monica Dr, Decatur, GA, 30032-3627"
2012,644,DeKalb County,305,Oakview Elementary,"PK, KK, 01, 02, 03, 04, 05",E,41.3,7.6,6.8,1,0,1,56.7,small_purple,"Oakview Elementary, 3574 Oakvale Rd, Decatur, GA, 30034-4701"
2012,644,DeKalb County,4067,Snapfinger Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.3,9.3,3.8,0.5,0,0.5,56.9,small_purple,"Snapfinger Elementary School, 1365 Snapfinger Rd, Decatur, GA, 30032-4702"
2012,669,Hall County,1058,White Sulphur Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.2,6.8,3.8,1,1.2,2.2,57,small_purple,"White Sulphur Elementary School, 2480 Old Cornelia Hwy, Gainesville, GA, 30507-7854"
2012,633,Cobb County,111,Imagine International Academy of Mableton,"KK, 01, 02, 03, 04, 05, 06, 07, 08",E,42.7,8.6,5.3,0,1,1,57.6,small_purple,"Imagine International Academy of Mableton, 6688 Mableton Pkwy SE , Mableton, GA, 30126-5302"
2012,666,Greene County,201,Union Point Elementary,"KK, 01, 02, 03, 04, 05",E,44.9,8.1,3.8,1,0,1,57.8,small_purple,"Union Point Elementary, 1401 Highway 77 N , Union Point, GA, 30669-1109"
2012,7820412,State Charter Schools- Georgia Connections Academy,412,Georgia Connections Academy,"KK, 01, 02, 03, 04, 05, 06, 07, 08",E,46.2,6.3,5.3,0.5,0,0.5,58.3,small_purple,"Georgia Connections Academy, 2763 Meadow Church Rd Ste 208, Duluth, GA, 30097-4989"
2012,625,Chatham County,511,Shuman Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45,7.4,6,0.5,0,0.5,58.9,small_purple,"Shuman Elementary School, 415 Goebel Ave, Savannah, GA, 31404-1751"
2012,644,DeKalb County,5064,Redan Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,41.6,8,8.3,1,0,1,58.9,small_purple,"Redan Elementary School, 1914 Stone Mountain Lithonia Rd, Lithonia, GA, 30058-5315"
2012,644,DeKalb County,375,Fairington Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,41.8,8.4,8.3,0.5,0,0.5,59,small_purple,"Fairington Elementary School, 5505 Philip Bradley Dr, Lithonia, GA, 30038-1200"
2012,644,DeKalb County,2068,Stone Mountain Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,41.5,8.2,8.3,1,0,1,59,small_purple,"Stone Mountain Elementary School, 6720 James B Rivers Dr, Stone Mountain, GA, 30083-2235"
