School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,,CCRPI Score,address
2012,644,DeKalb County,500,DeKalb Alternative School,"04, 05, 06, 07, 08, 09, 10, 11, 12",H,20.8,8.2,9.4,0,0,0,small_red,38.4,"DeKalb Alternative School, 5855 Memorial Dr, Stone Mountain, GA, 30083-3486"
2012,644,DeKalb County,112,Destiny Achievers Academy of Excellence,"09, 10, 11, 12",H,24.6,9.4,6.3,0,0,0,small_red,40.3,"Destiny Achievers Academy of Excellence, 3595 Linecrest Rd, Ellenwood, GA, 30294-1839"
2012,667,Gwinnett County,107,Gwinnett InterVention Education (GIVE) Center West,"06, 07, 08, 09, 10, 11, 12",H,21.4,7.1,13.8,0,0,0,small_red,42.3,"Gwinnett InterVention Education (GIVE) Center West, 2595 Beaver Ruin Rd , Norcross, GA, 30071-4124"
2012,675,Henry County,195,Patrick Henry High School,"06, 07, 08, 09, 10, 11, 12",H,27.1,7.4,9.4,0,0,0,small_red,43.9,"Patrick Henry High School, 109 S Lee St, Stockbridge, GA, 30281-3709"
2012,660,Fulton County,383,McClarin Alternative School,"09, 10, 11, 12",H,26.6,7.7,10.3,0,0,0,small_red,44.6,"McClarin Alternative School, 3605 Main St, College Park, GA, 30337-2614"
2012,607,Barrow County,113,College and Career Preparatory Academy,"09, 10, 11, 12",H,30.9,7.7,NA,0,0,0,measle_brown,45.4,"College and Career Preparatory Academy, 54 Star St W, Bethlehem, GA, 30620-2203"
2012,622,Carroll County,113,Open Campus High School,"10, 11, 12",H,29.3,10,NA,0,,0,measle_brown,46.2,"Open Campus High School, 113 Central High Rd, Carrollton, GA, 30116-4452"
2012,660,Fulton County,176,Banneker High School,"09, 10, 11, 12",H,33.2,8.6,4.7,0,0.5,0.5,measle_brown,47,"Banneker High School, 5935 Feldwood Rd, College Park, GA, 30349-3649"
2012,644,DeKalb County,810,Elizabeth Andrews High School,"10, 11, 12",H,27.1,10.2,10.3,0,0,0,measle_brown,47.6,"Elizabeth Andrews High School, 1701 Mountain Industrial Blvd, Stone Mountain, GA, 30083-1027"
2012,629,Clarke County,104,Classic City High School,"09, 10, 11, 12",H,32.7,7.8,NA,0,0,0,measle_brown,47.6,"Classic City High School, 440 Dearing Ext, Athens, GA, 30606-3555"
2012,667,Gwinnett County,388,Gwinnett InterVention Education (GIVE) Center East,"06, 07, 08, 09, 10, 11, 12",H,25.3,7.8,15,0,0,0,measle_brown,48.1,"Gwinnett InterVention Education (GIVE) Center East, 91 Green St, Lawrenceville, GA, 30046-5720"
2012,669,Hall County,105,Lanier Career Academy,"07, 08, 09, 10, 11, 12",H,25.2,8.2,15,0,0,0,measle_brown,48.4,"Lanier Career Academy, 2723 Tumbling Creek Rd , Gainesville, GA, 30504-5863"
2012,633,Cobb County,186,Oakwood Digital Academy,"09, 10, 11, 12",H,32,8.9,7.5,0,0,0,measle_brown,48.4,"Oakwood Digital Academy, 1560 Joyner Ave SE , Marietta, GA, 30060-3907"
2012,660,Fulton County,118,Hapeville Charter Career Academy,"09, 10, 11",H,38.2,6.9,4.7,0,0,0,measle_brown,49.8,"Hapeville Charter Career Academy, 6045 Buffington Rd, Atlanta, GA, 30349-3602"
2012,644,DeKalb County,606,Gateway to College Academy,"10, 11, 12",H,38.4,6.3,NA,0,0,0,measle_brown,52.6,"Gateway to College Academy, 555 N Indian Creek Dr , Clarkston, GA, 30021-2361"
2012,660,Fulton County,291,Creekside High School,"09, 10, 11, 12",H,37.4,8.9,8.4,0,0,0,measle_brown,54.7,"Creekside High School, 7405 Herndon Rd, Fairburn, GA, 30213-2781"
2012,648,Douglas County,212,New Manchester High School,"09, 10, 11, 12",H,37.1,8.7,7.5,0,1.7,1.7,small_purple,55,"New Manchester High School, 4925 Highway 92/166, Douglasville, GA, 30135"
2012,644,DeKalb County,4069,Towers High School,"09, 10, 11, 12",H,34.2,9.2,12.2,0,0.5,0.5,small_purple,56.1,"Towers High School, 3919 Brookcrest Cir , Decatur, GA, 30032-3815"
2012,660,Fulton County,1110,Langston Hughes High School,"09, 10, 11, 12",H,40.5,8.3,6.6,0,1.4,1.4,small_purple,56.8,"Langston Hughes High School, 7501 Hall Rd, Fairburn, GA, 30213-1939"
2012,644,DeKalb County,4053,Clarkston High School,"09, 10, 11, 12",H,37.3,10.5,7.5,0,1.8,1.8,small_purple,57.1,"Clarkston High School, 618 N Indian Creek Dr, Clarkston, GA, 30021-2364"
2012,648,Douglas County,175,Lithia Springs Comprehensive High School,"09, 10, 11, 12",H,40.3,8.2,8.4,0.5,0.4,0.9,small_purple,57.8,"Lithia Springs Comprehensive High School, 2520 E County Line Rd, Lithia Springs, GA, 30122-2713"
2012,667,Gwinnett County,187,Meadowcreek High School,"09, 10, 11, 12",H,40.5,7.9,9.4,0,0,0,small_purple,57.8,"Meadowcreek High School, 4455 Steve Reynolds Blvd , Norcross, GA, 30093-3323"
2012,644,DeKalb County,2054,Columbia High School,"09, 10, 11, 12",H,41.2,8.8,6.6,0.5,1,1.5,small_purple,58.1,"Columbia High School, 2106 Columbia Dr , Decatur, GA, 30032-7202"
2012,625,Chatham County,101,Johnson High School,"09, 10, 11, 12",H,41.1,9,8.4,0,0,0,small_purple,58.5,"Johnson High School, 3012 Sunset Blvd , Savannah, GA, 31404-4958"
2012,644,DeKalb County,103,"Martin Luther King, Jr. High School","09, 10, 11, 12",H,42,9.9,7.5,0.5,0,0.5,small_purple,59.9,"Martin Luther King, Jr. High School , 3991 Snapfinger Rd , Lithonia, GA, 30038-3648"
2012,660,Fulton County,691,Tri-Cities High School,"09, 10, 11, 12",H,41.2,7,9.4,0,2.5,2.5,small_purple,60.1,"Tri-Cities High School, 2575 Harris St, East Point, GA, 30344-2623"
2012,625,Chatham County,210,The School of Liberal Studies at Savannah High,"09, 10, 11, 12",H,37.1,9.5,14.1,0.5,0,0.5,small_purple,61.2,"The School of Liberal Studies at Savannah High, 400 Pennsylvania Ave, Savannah, GA, 31404-1240"
2012,666,Greene County,401,Greene County High School,"09, 10, 11, 12",H,39.8,9.8,12.2,0,0,0,small_purple,61.8,"Greene County High School, 1002 S Main St , Greensboro, GA, 30642-1216"
2012,625,Chatham County,5060,Jenkins High School,"09, 10, 11, 12",H,42.9,8.8,8.4,0.5,1.2,1.7,small_purple,61.8,"Jenkins High School, 1800 E de Renne Ave , Savannah, GA, 31406-2148"
2012,625,Chatham County,3056,Groves High School,"09, 10, 11, 12",H,40.3,9.9,11.3,0,0.7,0.7,small_purple,62.2,"Groves High School, 100 Wheathill Rd , Garden City, GA, 31408-1642"
