School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,715,Polk County,207,Harpst Academy,"04, 05, 06, 07, 08, 09, 10, 11",M,24.5,5.8,NA,0,0,0,small_red,35.6,"Harpst Academy, 740 Fletcher St , Cedartown, GA, 30125-3249"
2012,644,DeKalb County,1100,International Student Center,"07, 08",M,26.7,4.4,7.5,0.5,0,0.5,small_red,39.1,"International Student Center, 2383 N Druid Hills Rd NE , Atlanta, GA, 30329-3126"
2012,622,Carroll County,112,KidsPeace,"06, 07, 08, 09, 10, 11",M,27.7,NA,NA,0,0,0,small_red,39.6,"KidsPeace, 101 Kidspeace Dr, Bowdon, GA, 30108-3447"
2012,707,Newton County,113,Challenge Charter Academy,"06, 07, 08, 09, 10, 11, 12",M,31,8.4,NA,0.5,0.6,1.1,measle_brown,47.5,"Challenge Charter Academy, 8134 Geiger St NW, Covington, GA, 30014-1288"
2012,667,Gwinnett County,107,Gwinnett InterVention Education (GIVE) Center West,"06, 07, 08, 09, 10, 11, 12",M,38.4,5.2,NA,0,0,0,measle_brown,51.3,"Gwinnett InterVention Education (GIVE) Center West, 2595 Beaver Ruin Rd , Norcross, GA, 30071-4124"
2012,625,Chatham County,5062,Mercer Middle School,"06, 07, 08",M,43.7,7.3,5.3,0.5,0,0.5,small_purple,56.8,"Mercer Middle School, 201 Rommel Ave, Garden City, GA, 31408-1616"
2012,625,Chatham County,201,DeRenne Middle School,"06, 07, 08",M,42.3,7.7,6.8,1,0,1,small_purple,57.8,"DeRenne Middle School, 1009 Clinch St, Savannah, GA, 31405-3013"
2012,7820312,State Charter Schools- Heritage Preparatory Academy School,312,Heritage Preparatory Academy School,6,M,41.2,6.1,7.5,0,3.1,3.1,small_purple,57.9,"Heritage Preparatory Academy School, 3350 Greenbriar Pkwy SW, Atlanta, GA, 30331-2613"
2012,667,Gwinnett County,388,Gwinnett InterVention Education (GIVE) Center East,"06, 07, 08, 09, 10, 11, 12",M,42.6,NA,NA,0,,0,small_purple,60.9,"Gwinnett InterVention Education (GIVE) Center East, 91 Green St, Lawrenceville, GA, 30046-5720"
2012,7820412,State Charter Schools- Georgia Connections Academy,412,Georgia Connections Academy,"KK, 01, 02, 03, 04, 05, 06, 07, 08",M,47.9,6.3,6.8,0.5,0,0.5,small_purple,61.5,"Georgia Connections Academy, 2763 Meadow Church Rd Ste 208, Duluth, GA, 30097-4989"
2012,660,Fulton County,186,Camp Creek Middle School,"06, 07, 08",M,46.8,8.3,6,0.5,0,0.5,small_purple,61.6,"Camp Creek Middle School, 4345 Welcome All Rd SW, Atlanta, GA, 30349-1828"
2012,644,DeKalb County,401,Mary McLeod Bethune Middle School,"06, 07, 08",M,47.4,9.1,4.5,0,0.6,0.6,small_purple,61.6,"Mary McLeod Bethune Middle School, 5200 Covington Hwy , Decatur, GA, 30035-2201"
2012,660,Fulton County,803,Paul D. West Middle School,"06, 07, 08",M,46.4,8.6,6,0.5,0.6,1.1,small_purple,62.1,"Paul D. West Middle School, 2376 Headland Dr, East Point, GA, 30344-2074"
2012,7830410,Commission Charter Schools- Atlanta Heights Charter Commission School,410,Atlanta Heights Charter Commission School,"KK, 01, 02, 03, 04, 05, 06",M,43,7.6,8.3,0,3.7,3.7,small_purple,62.6,"Atlanta Heights Charter Commission School, 3670 Martin Luther King Jr Dr SW, Atlanta, GA, 30331-3740"
2012,666,Greene County,101,Anita White Carson Middle School,"06, 07, 08",M,43.1,7.5,8.3,0.5,4,4.5,small_purple,63.4,"Anita White Carson Middle School, 1010 S Main St , Greensboro, GA, 30642-1216"
2012,625,Chatham County,2060,Hubert Middle School,"06, 07, 08",M,47.7,8.1,7.5,1,0,1,small_purple,64.3,"Hubert Middle School, 768 Grant St , Savannah, GA, 31401-6113"
2012,644,DeKalb County,201,Freedom Middle School,"06, 07, 08",M,48.1,10.5,5.3,0.5,0.6,1.1,small_blue,65,"Freedom Middle School, 505 S Hairston Rd , Stone Mountain, GA, 30088-1612"
2012,660,Fulton County,189,McNair Middle School,"06, 07, 08",M,41.4,9,11.3,0.5,2.9,3.4,small_blue,65.1,"McNair Middle School, 2800 Burdett Rd, College Park, GA, 30349-4214"
2012,625,Chatham County,191,East Broad Street School,"PK, KK, 01, 02, 03, 04, 05, 06, 07",M,42.9,9.4,9.8,1,2,3,small_blue,65.1,"East Broad Street School, 400 E Broad St , Savannah, GA, 31401-5104"
2012,644,DeKalb County,291,Salem Middle School,"06, 07, 08",M,48.1,8.4,9,0,0,0,small_blue,65.5,"Salem Middle School, 5333 Salem Rd, Lithonia, GA, 30038-2865"
2012,644,DeKalb County,1057,McNair Middle School,"06, 07, 08",M,42.3,9.9,13.5,0.5,0,0.5,small_blue,66.2,"McNair Middle School, 2190 Wallingford Dr , Decatur, GA, 30032-6226"
2012,644,DeKalb County,301,Columbia Middle School,"06, 07, 08",M,49.5,9.2,7.5,0,0,0,small_blue,66.2,"Columbia Middle School, 3001 Columbia Dr , Decatur, GA, 30034-4148"
2012,644,DeKalb County,200,Cedar Grove Middle School,"06, 07, 08",M,43.7,8.4,13.5,0,0.8,0.8,small_blue,66.4,"Cedar Grove Middle School, 2300 Wildcat Rd, Decatur, GA, 30034-3735"
2012,660,Fulton County,117,Main Street Charter Academy Middle,"06, 07",M,48.9,7.8,8.3,0,1.4,1.4,small_blue,66.4,"Main Street Charter Academy Middle, 3480 Main St, Atlanta, GA, 30337-2064"
2012,644,DeKalb County,205,Redan Middle School,"06, 07, 08",M,47.5,9.2,9,0,0.9,0.9,small_blue,66.6,"Redan Middle School, 1775 Young Rd, Lithonia, GA, 30058-5604"
2012,628,Cherokee County,105,"William G. Hasty, Sr. Elementary School","PK, KK, 01, 02, 03, 04, 05, 06",M,46.1,7.9,10.5,0.5,2.8,3.3,small_blue,67.8,"William G. Hasty, Sr. Elementary School, 205 Brown Industrial Pkwy , Canton, GA, 30114-8007"
2012,628,Cherokee County,409,Canton Elementary,"PK, KK, 01, 02, 03, 04, 05, 06",M,47,8.1,11.3,0.5,0.9,1.4,small_blue,67.8,"Canton Elementary, 712 Marietta Hwy, Canton, GA, 30114-2609"
2012,633,Cobb County,111,Imagine International Academy of Mableton,"KK, 01, 02, 03, 04, 05, 06, 07, 08",M,50.1,8,8.3,0.5,1,1.5,small_blue,67.9,"Imagine International Academy of Mableton, 6688 Mableton Pkwy SE , Mableton, GA, 30126-5302"
2012,625,Chatham County,199,West Chatham Middle School,"06, 07, 08",M,49.3,8.6,9.8,0.5,0,0.5,small_blue,68.2,"West Chatham Middle School, 800 Pine Barren Rd , Pooler, GA, 31322-9398"
2012,660,Fulton County,107,Renaissance Middle School,"06, 07, 08",M,50,8.6,8.3,0.5,1.1,1.6,small_blue,68.5,"Renaissance Middle School , 7155 Hall Rd , Fairburn, GA, 30213-2031"
2012,660,Fulton County,391,Bear Creek Middle School,"06, 07, 08",M,48.7,9.3,9,0,2.4,2.4,small_blue,69.4,"Bear Creek Middle School, 7415 Herndon Rd, Fairburn, GA, 30213-2781"
2012,710,Paulding County,410,Carl Scoggins Sr. Middle school,"06, 07, 08",M,51.7,8.4,9.8,0,0,0,small_blue,69.9,"Carl Scoggins Sr. Middle school, 1663 Mulberry Rock Rd, Dallas, GA, 30157"
2012,644,DeKalb County,805,International Community School,"KK, 01, 02, 03, 04, 05, 06",M,47.5,11.3,NA,1,0,1,small_blue,70.2,"International Community School, 3260 Covington Hwy , Decatur, GA, 30032-1121"
2012,622,Carroll County,102,Temple Middle School,"06, 07, 08",M,50.9,8.7,10.5,0.5,0,0.5,small_blue,70.6,"Temple Middle School, 275 Rainey Rd , Temple, GA, 30179-3929"
2012,648,Douglas County,5050,Stewart Middle School,"06, 07, 08",M,49.7,8.4,9,0,3.8,3.8,small_blue,70.9,"Stewart Middle School, 8138 Malone St , Douglasville, GA, 30134-1239"
2012,644,DeKalb County,506,Stone Mountain Middle School,"06, 07, 08",M,50.4,9.3,9,1,1.2,2.2,small_blue,70.9,"Stone Mountain Middle School, 4293 Sarr Pkwy , Stone Mountain, GA, 30083-1031"
2012,644,DeKalb County,193,Chapel Hill Middle School,"06, 07, 08",M,53.4,8.7,7.5,0.5,0.8,1.3,small_blue,70.9,"Chapel Hill Middle School, 3535 Dogwood Farm Rd, Decatur, GA, 30034-6405"
