Address,CDS,RTYPE,STYPElementary School,SPED,SIZE,CHARTER,SNAME,DNAME,Table,CNAME,INCLUDE,VALID,API12B,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,MR_NUM,MR_SIG,MR_API,MR_GT,MR_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,EL_NUM,EL_SIG,EL_API,EL_GT,EL_TARG,DI_NUM,DI_SIG,DI_API,DI_GT,DI_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_91,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E91,PCST_E91,CW_CSTE,VCST_M28,PCST_M28,VCST_M91,PCST_M91,CW_CSTM,VCST_S28,PCST_S28,VCST_S91,PCST_S91,CWS_91,VCST_H28,PCST_H28,VCST_H91,PCST_H91,CW_CSTH,VCHS_E91,PCHS_E91,CW_CHSE,VCHS_M91,PCHS_M91,CW_CHSM,TOT_28,TOT_91,CW_SCI,VCST_LS10,PCST_LS10,CWM2_28,VCSTM2_28,PCSTM2_28,CWM2_91,VCSTM2_91,PCSTM2_91,CWS2_91,VCSTS2_91,PCSTS2_91,IRG5
"Cerritos High, 12500 East 183Rd Street., Cerritos, CA, 90703-8450",19642121930056,S,High School,,,,Cerritos High,ABC Unified,2,Los Angeles,1,1623,868,9,3,A,A,107,Yes,800,A,A,7,No,,,,812,Yes,911,A,A,233,Yes,858,A,A,275,Yes,801,A,A,12,No,813,,,128,Yes,822,A,A,47,No,847,,,417,Yes,809,A,A,185,Yes,768,5,773,102,No,610,,,6,0,50,14,17,1,8,3,25,21,1,5,24,6,No,99,99,N/A,N/A,30,96,2,8,21,45,24,3.81,,,0,0,0,0,100,1662,0,1651,185.3048268,0,0.000,1622,486.600,27.6,0,0.000,1616,323.200,18.3,0,0.000,1472,323.840,18.3,0,0.000,1056,242.880,13.8,551,165.300,9.4,543,162.900,9.2,0.00,1764.87,3.0,534,53.400,0.0,0,0.000,0.0,7,0.700,0.3,121,6.050,
"Cecil B. Stowers Elementary, 13350 Beach Street, Cerritos, CA, 90703-1331",19642126066716,S,Elementary School,,,,Cecil B. Stowers Elementary,ABC Unified,2,Los Angeles,1,422,892,9,3,A,A,38,No,849,,,2,No,,,,159,Yes,952,A,A,45,No,921,,,130,Yes,832,A,A,3,No,,,,33,No,894,,,12,No,811,,,120,Yes,813,A,A,104,Yes,859,A,A,45,No,595,,,9,0,38,10,31,1,8,3,27,23,0,18,13,10,No,96,97,25,29,N/A,98,2,6,25,45,22,3.80,,,18,59,23,0,0,445,0,445,188.6649905,422,202.560,0,0.000,57.0,422,135.040,0,0.000,38.0,90,18.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,355.60,0.00,5.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Beverly Hills High, 241 Moreno Drive, Beverly Hills, CA, 90212-3639",19643111930981,S,High School,,,,Beverly Hills High,Beverly Hills Unified,2,Los Angeles,1,1408,867,9,7,A,A,70,No,760,,,4,No,,,,178,Yes,919,A,A,15,No,882,,,91,No,858,,,3,No,,,,1041,Yes,866,A,A,5,No,,,,143,Yes,798,2,800,91,No,738,,,165,Yes,644,8,652,5,0,13,1,7,0,73,0,10,12,0,5,8,10,No,98,98,N/A,N/A,25,95,1,7,14,43,36,4.06,,,0,0,0,0,100,1464,0,1459,181.6987786,0,0.000,1401,420.300,27.5,0,0.000,1385,277.000,18.1,0,0.000,1204,264.880,17.3,0,0.000,951,218.730,14.3,495,148.500,9.7,486,145.800,9.5,0.00,1527.26,3.0,454,45.400,0.0,0,0.000,0.1,20,2.000,0.3,93,4.650,
"Beverly Vista Elementary, 200 South Elm Drive, Beverly Hills, CA, 90212-4011",19643116011746,S,Elementary School,,,,Beverly Vista Elementary,Beverly Hills Unified,2,Los Angeles,1,563,920,9,7,A,A,27,No,876,,,0,No,,,,91,Yes,964,A,A,4,No,,,,40,No,840,,,1,No,,,,396,Yes,920,A,A,4,No,,,,48,No,828,,,92,Yes,857,A,A,77,No,779,,,5,0,16,1,7,0,70,1,8,9,0,7,12,11,No,97,97,19,27,23,96,1,7,10,40,43,4.18,,,12,38,18,32,0,592,1,591,188.6849831,563,270.240,0,0.000,53.8,561,179.520,0,0.000,35.8,169,33.800,0,0.000,0.0,92,18.400,0,0.000,3.7,0,0.000,0.0,0,0.000,0.0,501.96,0.00,6.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"El Rodeo Elementary, 605 North Whittier Drive, Beverly Hills, CA, 90210-3112",19643116011753,S,Elementary School,,,,El Rodeo Elementary,Beverly Hills Unified,2,Los Angeles,1,521,900,9,3,A,A,19,No,798,,,1,No,,,,40,No,940,,,5,No,,,,28,No,851,,,1,No,,,,425,Yes,905,A,A,2,No,,,,30,No,811,,,55,No,827,,,76,No,761,,,4,0,8,1,6,0,81,0,5,11,0,4,8,12,No,97,97,18,26,25,98,1,3,12,39,45,4.23,,,7,42,16,34,0,539,0,539,189.2678006,521,250.080,0,0.000,53.3,521,166.720,0,0.000,35.6,172,34.400,0,0.000,0.0,88,17.600,0,0.000,3.8,0,0.000,0.0,0,0.000,0.0,468.80,0.00,7.3,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Horace Mann Elementary, 8701 Charleville Boulevard, Beverly Hills, CA, 90211-2805",19643116011779,S,Elementary School,,,,Horace Mann Elementary,Beverly Hills Unified,2,Los Angeles,1,470,914,9,7,A,A,19,No,838,,,4,No,,,,89,Yes,960,A,A,8,No,,,,36,No,912,,,2,No,,,,311,Yes,906,A,A,1,No,,,,73,Yes,863,A,A,69,No,802,,,68,No,759,,,4,1,20,2,8,0,65,0,14,9,0,13,4,12,No,97,97,18,25,22,99,1,8,15,41,36,4.02,,,12,40,18,31,0,497,0,495,187.9382289,470,225.600,0,0.000,53.3,469,150.080,0,0.000,35.5,160,32.000,0,0.000,0.0,77,15.400,0,0.000,3.6,0,0.000,0.0,0,0.000,0.0,423.18,0.00,7.6,0,0.000,0.0,1,0.100,0.0,0,0.000,0.0,0,0.000,
"Bonita High, 3102 D Street, La Verne, CA, 91750-4023",19643291931088,S,High School,,,,Bonita High,Bonita Unified,2,Los Angeles,1,1397,865,9,8,A,A,44,No,786,,,5,No,,,,58,No,915,,,15,No,912,,,603,Yes,840,A,A,1,No,,,,579,Yes,889,A,A,68,No,913,,,336,Yes,810,A,A,33,No,719,,,127,Yes,599,10,609,3,0,5,1,43,0,41,5,23,16,0,3,4,8,No,97,97,N/A,N/A,31,91,4,12,34,32,18,3.48,,,0,0,0,0,100,1453,0,1450,180.5236001,0,0.000,1397,419.100,27.2,0,0.000,1331,266.200,17.3,0,0.000,1238,272.360,17.7,0,0.000,921,211.830,13.8,515,154.500,10.0,506,151.800,9.9,0.00,1538.54,3.2,486,48.600,0.0,0,0.000,0.4,64,6.400,0.5,155,7.750,
"Allen Avenue Elementary, 740 East Allen Avenue, San Dimas, CA, 91773-1437",19643296011787,S,Elementary School,,,,Allen Avenue Elementary,Bonita Unified,2,Los Angeles,1,236,893,9,8,A,A,5,No,,,,0,No,,,,7,No,,,,2,No,,,,114,Yes,876,A,A,1,No,,,,85,Yes,896,A,A,13,No,941,,,91,Yes,857,A,A,20,No,752,,,42,No,752,,,2,0,3,1,49,1,36,5,38,4,0,7,1,16,No,97,98,23,33,N/A,93,2,13,35,30,20,3.54,,,17,83,0,0,0,243,0,243,185.2235669,236,113.280,0,0.000,55.8,236,75.520,0,0.000,37.2,71,14.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,203.00,0.00,7.0,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Gladstone Elementary, 1314 West Gladstone, San Dimas, CA, 91773-1437",19643296011811,S,Elementary School,,,,Gladstone Elementary,Bonita Unified,2,Los Angeles,1,323,919,9,8,A,A,10,No,,,,0,No,,,,31,No,960,,,6,No,,,,124,Yes,899,A,A,0,No,,,,131,Yes,927,A,A,8,No,,,,104,Yes,862,A,A,37,No,868,,,44,No,774,,,3,0,9,2,40,0,40,2,32,8,0,10,3,13,No,97,98,23,29,N/A,97,2,8,30,39,21,3.70,,,22,78,0,0,0,333,0,333,187.1791792,323,155.040,0,0.000,56.5,323,103.360,0,0.000,37.7,80,16.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,274.40,0.00,5.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Grace Miller Elementary, 1629 Holly Oak Street, La Verne, CA, 91773-1437",19643296011829,S,Elementary School,,,,Grace Miller Elementary,Bonita Unified,2,Los Angeles,1,258,893,9,6,A,A,11,No,708,,,0,No,,,,11,No,952,,,7,No,,,,126,Yes,855,A,A,0,No,,,,84,Yes,951,A,A,10,No,,,,93,Yes,818,A,A,20,No,826,,,28,No,725,,,4,0,6,3,49,0,32,4,36,7,0,7,2,10,No,96,96,23,32,N/A,97,4,11,34,30,21,3.52,,,27,73,0,0,0,270,0,270,185.9301968,258,123.840,0,0.000,56.8,258,82.560,0,0.000,37.8,59,11.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,218.20,0.00,5.4,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
