ISD Code,ISD Name,District Code,District Name,Building Code,Building Name,Statewide Percentile Ranking,Priority/ Focus / Reward School?,Made AYP?,Reason(s) Not Making AYP,EdYes! Grade,Marker_Type,Title I Status,Address
82,Wayne RESA,82735,New Paradigm Loving Academy,3725,New Paradigm Loving Academy,,,N,"Att-All, Att-Sub",U,measle_brown,Title I-Participating,"New Paradigm Loving Academy, 1000 LYNN ST, DETROIT, MI 48211-1081"
82,Wayne RESA,82734,New Paradigm Glazer Academy,5675,New Paradigm Glazer Academy,,,N,"Prof-Sub, Att-All, Att-Sub",U,measle_brown,Title I-Participating,"New Paradigm Glazer Academy, 2001 LA BELLE ST, DETROIT, MI 48238"
11,Berrien RESA,11010,Benton Harbor Area Schools,7143,Fair Plain Renaissance Middle School,6,,N,"Part-All, Part-Sub",U,measle_brown,Title I-Participating,"Fair Plain Renaissance Middle School, 870 COLFAX ,BENTON HARBOR, MI 490227332"
81,Washtenaw ISD,81020,School District of Ypsilanti,6273,Ypsilanti High School,8,Focus,N,"Part-All, Part-Sub, Grad-All, Grad-Sub",D,small_red,Title I-Eligible,"Ypsilanti High School, 2095 PACKARD RD ,YPSILANTI, MI 481971833"
81,Washtenaw ISD,81150,Willow Run Community Schools,9404,Willow Run Intermediate Learning Center,16,,N,Part-Sub,D,small_red,Title I-Participating,"Ypsilanti Community Middle School, 235 SPENCER LN, YPSILANTI, MI 48198-4247"
82,Wayne RESA,82010,Detroit City School District,3717,"Young, Coleman A. Elementary",2,Priority,N,"Prof-Sub, Att-All, Att-Sub",D,small_red,Title I-Participating,"Young, Coleman A. Elementary, 15771 HUBBELL ST, DETROIT, MI 48227-2948"
41,Kent ISD,41026,Wyoming Public Schools,3253,Rogers High School,33,,N,Grad-Sub,D,small_red,Title I-Participating,"Wyoming High School, 1350 PRAIRIE PKWY SW, WYOMING, MI 49509-2743"
82,Wayne RESA,82010,Detroit City School District,9125,"Wright, Charles School",0,Priority,N,"Att-All, Att-Sub",D,small_red,Title I-Participating,"Wright, Charles School, 19299 BERG RD, DETROIT, MI 48219-1712"
16,Cheb-Otsego-Presque Isle ESD,16100,Wolverine Community School District,5860,Wolverine Middle/High School,,,N,"Part-All, Part-Sub",D,small_red,Title I-Eligible,"Wolverine Middle/High School, 13131 BROOK ST, Wolverine, MI 49799-0219"
81,Washtenaw ISD,81150,Willow Run Community Schools,4550,Willow Run High School,5,Focus,N,"Grad-All, Grad-Sub",D,small_red,Title I-Participating,"Willow Run High School, 235 SPENCER LN ,YPSILANTI, MI 481984247"
