Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Hughes Center High, 2515 Clifton Ave, Cincinnati, OH, 45219",Cincinnati City,Hughes Center High Schoola,Academic Emergency*,F,small_red,-,F,F,-,-,-,-,-,043752,017111,76.52380952,017111,17111
"Choices Alternative School Hig, 816 30th St NW, Canton, OH, 44709",Canton City,Choices Alternative School,Academic Emergency*,F,small_red,-,F,F,-,-,-,-,-,043711,140152,N/A,140152,140152
"Southeast Elem, 2200 Merle Rd, Salem, OH, 44460",Salem City,Southeast Elementary School,Effective,F,small_red,B,-,-,C,C,C,C,F,044735,043000,98.06966618,043000,43000
"H.S. of Multiple Intelligences, 1 Spartan Way, Lima, OH, 45801",Lima City,High School of Multiple Intelligences,Continuous Improvement,F,small_red,C,C,D,-,-,-,-,D,044222,008298,81.24242424,008298,8298
"Independence Elem, 615 Tremont Ave, Lima, OH, 45801",Lima City,Independence Elementary School,Continuous Improvement,F,small_red,C,-,-,D,C,C,C,F,044222,000470,88.5106383,000470,470
"Lima South Elem, 755 Saint Johns Ave, Lima, OH, 45804",Lima City,Lima South Science-Technology Magnet K-8,Continuous Improvement,F,small_red,C,-,-,D,C,D,-,A,044222,035097,71.11888112,035097,35097
"Edison Elem, 1202 Masters Ave, Ashland, OH, 44805",Ashland City,Edison Primary School North,Effective,F,small_red,C,-,-,F,C,C,C,F,043505,010025,94.67937608,010025,10025
"Perrysville Jr High, PO Box 426, Perrysville, OH, 44864",Loudonville-Perrysville Exempted Village,Loudonville Junior High School,Effective,F,small_red,C,-,-,F,F,F,F,F,045468,029751,96.94323144,029751,29751
"Saybrook Elem, 7911 Depot Rd, Ashtabula, OH, 44004",Ashtabula Area City,Erie Intermediate School,Excellent,F,small_red,C,-,-,A,B,B,A,F,043513,033670,94.01937046,033670,33670
"Lakeside Junior High School Jr, 6620 Sanborn Rd, Ashtabula, OH, 44004",Ashtabula Area City,Lakeside Junior High School,Academic Watch,F,small_red,C,-,-,F,B,D,F,F,043513,007088,88.55103498,007088,7088
"Ontario Elem, 2330 Wade Ave, Ashtabula, OH, 44004",Ashtabula Area City,Ontario Primary School,Continuous Improvement,F,small_red,C,-,-,-,-,-,-,F,043513,004242,84.54545455,004242,4242
"Lakeside Intermediate School M, 401 W 44th St, Ashtabula, OH, 44004",Ashtabula Area City,Superior Intermediate School,Excellent,F,small_red,C,-,-,A,C,A,A,C,043513,011518,85.87234043,011518,11518
"Gateway Elem, 229 Gateway Av, Conneaut, OH, 44030",Conneaut Area City,Gateway Elementary School,Continuous Improvement,F,small_red,C,-,-,F,F,C,C,F,043810,000388,92.0951417,000388,388
"GPRS Elem, 755 Austin Rd, Geneva, OH, 44041",Geneva Area City,Geneva Platt R. Spencer Elementary School,Continuous Improvement,F,small_red,C,-,-,F,D,F,D,F,044057,012015,92.48493976,012015,12015
"Coolville Elem, PO Box 490, Coolville, OH, 45723",Federal Hocking Local,Coolville Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,C,B,F,045914,007302,86.49517685,007302,7302
"Federal Hocking Middle, 8461 State Route 144, Stewart, OH, 45778",Federal Hocking Local,Federal Hocking Middle School,Continuous Improvement,F,small_red,C,-,-,C,B,F,F,F,045914,091389,88.88586957,091389,91389
"Trimble Middle, 18500 Jacksonville Rd, Glouster, OH, 45732",Trimble Local,Trimble Middle School,Continuous Improvement,F,small_red,C,-,-,C,C,D,A,F,045922,065318,84.1781874,065318,65318
"Bellaire High, 349 35th St, Bellaire, OH, 43906",Bellaire Local,Bellaire High School,Continuous Improvement,F,small_red,C,D,C,-,-,-,-,D,043570,002139,84.55263158,002139,2139
"Bridgeport Middle, 55707 Industrial Dr, Bridgeport, OH, 43912",Bridgeport Exempted Village,The Bridgeport School DIstrict - Middle School,Continuous Improvement,F,small_red,C,-,-,D,C,D,F,F,045237,019190,88.7007874,019190,19190
"Ripley Union Lewis Huntington, 2300 Rains-Eitel Rd., Aberdeen, OH, 45101",Ripley-Union-Lewis-Huntington Local,Ripley Union Lewis Huntington Middle School,Continuous Improvement,F,small_red,C,-,-,F,-,F,C,F,046078,000501,91.2125,000501,501
"Crawford Woods Elem, 2200 Hensley Ave, Hamilton, OH, 45011",Hamilton City,Crawford Woods Elementary School,Continuous Improvement,F,small_red,C,-,-,C,D,B,A,F,044107,038216,86.02026049,038216,38216
"Fairwood Elem, 281 Fair Avenue, Hamilton, OH, 45011",Hamilton City,Fairwood Elementary School,Continuous Improvement,F,small_red,C,-,-,B,-,C,A,F,044107,011482,83.92592593,011482,11482
"Garfield Middle, 250 N Fair Ave, Hamilton, OH, 45011",Hamilton City,Garfield Middle School,Academic Watch,F,small_red,C,-,-,F,D,F,F,F,044107,013102,85.96685083,013102,13102
"Riverview Elem, 250 Knightsbridge Dr, Hamilton, OH, 45011",Hamilton City,Riverview Elementary School,Excellent,F,small_red,C,-,-,A,-,B,A,F,044107,015404,90.62730627,015404,15404
"Central Academy Nongraded Elem, 4601 Sophie Ave, Middletown, OH, 45042",Middletown City,Central Academy Nongraded Elementary School,Continuous Improvement,F,small_red,C,-,-,C,D,C,-,F,044404,005405,91.32075472,005405,5405
"Creekview Elem, 4800 Timber Trail Dr, Middletown, OH, 45044",Middletown City,Creekview Elementary School,Effective,F,small_red,C,-,-,A,B,A,A,F,044404,007609,82.28971963,007609,7609
"Highview Middle, 106 S Highview Rd, Middletown, OH, 45044",Middletown City,Highview 6th Grade Center,Effective,F,small_red,C,-,-,C,C,A,B,F,044404,013284,83.02193339,013284,13284
"Mayfield Elem, 301 Loretta Dr, Middletown, OH, 45044",Middletown City,Mayfield Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,C,A,F,044404,023283,85.03448276,023283,23283
"Middletown Middle School Middl, 1415 Girard Ave, Middletown, OH, 45044",Middletown City,Middletown Middle School,Effective,F,small_red,C,-,-,A,B,A,A,F,044404,064360,85.54601227,064360,64360
"Miller Ridge Elem, 4704 Miller Road, Middletown, OH, 45042",Middletown City,Miller Ridge Elementary School,Effective,F,small_red,C,-,-,F,D,C,C,F,044404,032664,94.90872211,032664,32664
"Rosa Parks Elementary School E, 1210 S Verity Pkwy, Middletown, OH, 45044",Middletown City,Rosa Parks Elementary School,Continuous Improvement,F,small_red,C,-,-,A,B,B,B,F,044404,008933,75.72127139,008933,8933
"Wildwood Elem, 3300 Wildwood Rd, Middletown, OH, 45042",Middletown City,Wildwood Elementary School,Continuous Improvement,F,small_red,C,-,-,C,C,B,C,F,044404,041277,89.35416667,041277,41277
