Address,LEVEL,CODE,NAME,Title I Status,# Targets Passed/Eval,Classification,Marker_Type,"""TOTAL
POINTS
/100""
","% PROF
/30","SUBGROUP
GAPS
/30","PROG TO
2017 TARGET
/10","% IN
DISTINCTION
/5","STUDENT
GROWTH
/25","HS
GRADUATION
/20","HS SCALED SCORE
CHANGE
/5"
"Dr. Earl F. Calcutt Middle School, 112 Washington Street, Central Falls, RI 02863",Middle School,04115,Dr. Earl F. Calcutt Middle School,Y, 2/18,Priority,small_red,32.50,6.00,13.50,2.00,1.00,10.00,,
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School, 182 Thurbers Avenue, Providence, RI 02905",High School,28189,William B. Cooley Senior High School/Hea,Y, 5/13,Priority,small_red,34.17,6.00,15.00,2.00,1.50,,6.67,3.00
"Hope High School, 324 Hope Street, Providence, RI 02906",High School,28149,Hope High School, , 9/17,Priority,small_red,34.33,8.00,16.50,2.00,1.50,,3.33,3.00
"Robert L Bailey IV, Elementary School, 65 Gordon Avenue, Providence, RI 02905",Elementary School,28156,"Robert L Bailey IV, Elementary School",Y, 6/14,Priority,small_red,34.33,6.00,16.50,2.00,1.50,8.33,,
"Central High School, 70 Fricker Street, Providence, RI 02903",High School,28139,Central High School,Y, 9/17,Priority,small_red,35.33,8.00,16.50,3.00,1.50,,3.33,3.00
"Mary E. Fogarty Elementary School, 199 Oxford Street, Providence, RI 02905",Elementary School,28160,Mary E. Fogarty Elementary School,Y,11/16,Priority,small_red,35.50,6.00,16.50,2.00,1.00,10.00,,
"Dr. M. H. Sullivan School, 435 Broadway, Newport, RI 02840",Elementary School,21110,Dr. M. H. Sullivan School,Y,17/18,Priority,small_red,35.67,8.00,10.50,4.00,1.50,11.67,,
"Governor Christopher DelSesto Middle School, 152 Springfield Street, Providence, RI 02909",Middle School,28182,Governor Christopher DelSesto Middle Sch,Y,13/16,Priority,small_red,36.00,7.00,15.00,3.00,1.00,10.00,,
"Carl G. Lauro Elementary School, 99 Kenyon Street, Providence, RI 02903",Elementary School,28140,Carl G. Lauro Elementary School,Y, 9/18,Priority,small_red,37.00,6.00,16.50,3.00,1.50,10.00,,
"Roger Williams Middle School, 278 Thurbers Avenue, Providence, RI 02905",Middle School,28147,Roger Williams Middle School,Y, 3/16,Priority,small_red,37.50,6.00,13.50,2.00,1.00,15.00,,
"Alan Shawn Feinstein Elementary at Broad Street, 1450 Broad Street, Providence, RI 02905",Elementary School,28116,Alan Shawn Feinstein Elementary at Broad,Y, 8/18,Focus,small_red,38.33,8.00,18.00,2.00,2.00,8.33,,
"Governor Aram J. Pothier School, 420 Robinson Street, Woonsocket, RI 02895",Elementary School,39110,Governor Aram J. Pothier School,Y, 0/13,Warning,small_red,38.67,10.00,15.00,2.00,2.00,9.67,,
"George J. West Elementary School, 145 Beaufort Street, Providence, RI 02908",Elementary School,28135,George J. West Elementary School,Y, 8/18,Focus,small_red,39.17,6.00,16.50,4.00,1.00,11.67,,
"The Sgt. Cornel Young, Jr & Charlotte Woods Elementary School @ The B. Joe Clanton Complex, 674 Prairie Avenue, Providence, RI 02905",Elementary School,28162,Cornel Young and Charlotte Woods Element,Y, 4/14,Priority,measle_brown,40.50,6.00,16.50,2.00,1.00,15.00,,
"Dr. Jorge Alvarez High School, 375 Adelaide Avenue, Providence, RI 02907",High School,28113,Dr. Jorge Alvarez High School,Y, 6/13,Priority,measle_brown,40.50,6.00,15.00,5.00,1.50,,10.00,3.00
"Providence Career and Technical Academy, 41 Fricker street, Providence, RI 02903",High School,28193,Providence Career and Technical School,Y, 6/10,Focus,measle_brown,40.90,8.40,14.00,4.00,1.50,,10.00,3.00
"Frank D. Spaziano Elementary School, 85 Laurel Hill Avenue, Providence, RI 02909",Elementary School,28134,Frank D. Spaziano Elementary School,Y, 5/14,Focus,measle_brown,41.00,6.00,16.50,2.00,1.50,15.00,,
"Asa Messer Elementary School, 1655 Westminster Street, Providence, RI 02909",Elementary School,28115,Asa Messer Elementary School at Bridgham,Y, 4/18,Focus,measle_brown,41.00,6.00,16.50,2.00,1.50,15.00,,
"Veazie Street School, 211 Veazie Street, Providence, RI 02904",Elementary School,28130,Veazie Street School,Y,11/18,Warning,measle_brown,41.50,10.00,19.50,5.00,2.00,5.00,,
"Marieville Elementary School, 1135 Mineral Spring Avenue, North Providence, RI 02904",Elementary School,24103,Marieville Elementary School,Y,10/16,Warning,measle_brown,42.50,10.00,13.50,2.00,2.00,15.00,,
"Veterans Memorial Elementary, 150 Fuller Avenue, Central Falls, RI 02863",Elementary School,04106,Veterans Memorial Elementary,Y,10/18,Focus,measle_brown,42.67,8.00,19.50,2.00,1.50,11.67,,
"James R. D. Oldham School, 60 Bart Drive, Riverside, RI 02915",Elementary School,10111,James R. D. Oldham School,Y, 8/12,Warning,measle_brown,42.83,13.00,13.50,6.00,2.00,8.33,,
"Gilbert Stuart Middle School, 188 Princeton Avenue, Providence, RI 02907",Middle School,28144,Gilbert Stuart Middle School,Y,11/18,Priority,measle_brown,43.00,6.00,15.00,6.00,1.00,15.00,,
"Hopkins Hill School, 95 Johnson Boulevard, Coventry, RI 02816",Elementary School,06112,Hopkins Hill School,Y, 4/12,Warning,measle_brown,43.17,15.00,15.00,4.00,2.50,6.67,,
"Harris School, 60 High School Street, Woonsocket, RI 02895",Elementary School,39101,Harris School,Y,15/16,Warning,measle_brown,43.50,11.00,16.50,4.00,2.00,10.00,,
"Segue Institute for Learning, 325 Cowden Street, Central Falls, RI 02863",Middle School,04602,Segue Institute for Learning,Y, 8/ 8,Focus,measle_brown,43.83,8.00,18.00,8.00,1.50,8.33,,
"Dr. Martin Luther King, Jr. Elementary School, 35 Camp Street, Providence, RI 02906",Elementary School,28163,"Dr. Martin Luther King, Jr. Elementary S",Y,12/16,Warning,measle_brown,44.33,11.00,21.00,2.00,2.00,8.33,,
"Greystone School, 100 Morgan Avenue, North Providence, RI 02911",Elementary School,24110,Greystone School,Y, 5/12,Warning,measle_brown,44.50,11.00,19.50,2.00,2.00,10.00,,
"Ella Risk School, 949 Dexter Street, Central Falls, RI 02863",Elementary School,04101,Ella Risk School,Y, 6/18,Warning,measle_brown,45.00,10.00,21.00,2.00,2.00,10.00,,
"Kent Heights School, 2680 Pawtucket Avenue, East Providence, RI 02914",Elementary School,10113,Kent Heights School,Y,16/16,Warning,measle_brown,45.33,12.00,15.00,2.00,3.00,13.33,,
"Mount Pleasant High School, 434 Mt. Pleasant Avenue, Providence, RI 02908",High School,28150,Mount Pleasant High School,Y,14/17,Priority,measle_brown,45.67,9.00,18.00,7.00,2.00,,6.67,3.00
"Centredale School, 41 Angell Avenue, North Providence, RI 02911",Elementary School,24109,Centredale School,Y, 9/14,Warning,measle_brown,45.67,13.00,21.00,3.00,2.00,6.67,,
"Aldrich Junior High School, 789 Post Road, Warwick, RI 02888",Middle School,35118,Aldrich Junior High School, , 8/12,Warning,measle_brown,45.83,14.00,18.00,3.00,2.50,8.33,,
"Lillian Feinstein Elementary, Sackett Street, 159 Sackett Street, Providence, RI 02907",Elementary School,28157,"Lillian Feinstein Elementary, Sackett St",Y,14/14,Priority,measle_brown,46.50,6.00,16.50,8.00,1.00,15.00,,
"John F. Horgan Elementary School, 124 Providence Street, West Warwick, RI 02893",Elementary School,38104,John F. Horgan Elementary School,Y, 8/14,Warning,measle_brown,46.50,14.00,16.50,4.00,2.00,10.00,,
"Bernon Heights School, 657 Logee Street, Woonsocket, RI 02895",Elementary School,39118,Bernon Heights School,Y,13/16,Warning,measle_brown,46.50,14.00,18.00,2.00,2.50,10.00,,
"NEL/CPS Construction Career Academy, 4 Sharpe Drive, Cranston, RI 02920",High School,07135,NEL/CPS Construction Career Academy, , 4/ 5,Warning,measle_brown,46.67,12.00,18.00,5.00,2.00,,6.67,3.00
"Kevin K. Coleman Elementary School, 96 Second Avenue, Woonsocket, RI 02895",Elementary School,39128,Kevin K. Coleman Elementary School,Y,18/18,Warning,measle_brown,46.83,10.00,15.00,7.00,1.50,13.33,,
"Nathanael Greene School, 285 Smithfield Avenue, Pawtucket, RI 02860",Elementary School,26111,Nathanael Greene School,Y, 8/20,Warning,measle_brown,47.17,10.00,16.50,2.00,2.00,16.67,,
"15 Cranston Ave., Newport, RI 02840",Elementary School,21102,Cranston - Calvert School,Y,13/14,Warning,measle_brown,47.33,11.00,13.50,2.00,2.50,18.33,,
"Emma G. Whiteknact School, 261 Grosvenor Avenue, East Providence, RI 02914",Elementary School,10117,Emma G. Whiteknact School,Y,18/18,Warning,measle_brown,47.33,10.00,15.00,7.00,2.00,13.33,,
"Woonsocket Middle School, 60 Florence Dr, Woonsocket, RI 02895",Middle School,39115,Woonsocket Middle School,Y,13/22,Warning,measle_brown,47.50,10.00,19.50,6.00,2.00,10.00,,
"Esek Hopkins Middle School, 480 Charles Street, Providence, RI 02904",Middle School,28137,Esek Hopkins Middle School,Y,14/14,Warning,measle_brown,47.50,10.00,18.00,8.00,1.50,10.00,,
"Goff Junior High School, 974 Newport Avenue, Pawtucket, RI 02861",Middle School,26107,Goff Junior High School,Y,11/16,Warning,measle_brown,48.00,10.00,19.50,2.00,1.50,15.00,,
"Forest Avenue School, 315 Forest Avenue, Middletown, RI 02842",Elementary School,19107,Forest Avenue School,Y, 3/14,Warning,measle_brown,48.00,14.00,19.50,2.00,2.50,10.00,,
"Bradford Elementary School, 15 Church Street, Bradford, RI 02808",Elementary School,36101,Bradford Elementary School,Y, 8/ 8,Warning,measle_brown,48.17,18.00,18.00,2.00,3.50,6.67,,
