DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
SC CHARTER SCHOOL,"SC Whitmore School                                , 407 Lexington Avenue, Chapin, SC, 29036",SC WHITMORE SCHOOL,N/A,4701014,HIGH,measle_brown,No Grade,,,,,,
RICHLAND 1,"Hall Institute, 1800 Colonial Drive, Columbia, SC, 29203",HALL INSTITUTE,N/A,4001901,COMBO,measle_brown,No Grade,,,,,,
SC CHARTER SCHOOL,"Cape Romain Environmental Education Charter, 1011 Old Cemetery Road, McClellanville, SC, 29458",CAPE ROMAIN ENVIRONMENTAL EDUCAT,N/A,4701019,ELEM,measle_brown,No Grade,,,,,,
SC CHARTER SCHOOL,"Youth Leadership Academy Charter, 698 Concord Church Road, Pickens, SC, 29671",YOUTH LEADERSHIP ACADEMY CHARTER,N/A,4701017,MIDD,small_green,A,100,,,100,,
SC CHARTER SCHOOL,"East Pointe Academy                               , 1320 Knox Abbott Drive, Cayce, SC, 29033",EAST POINT ACADEMY,N/A,4701013,ELEM,small_green,A,100,100,,,,
SC CHARTER SCHOOL,"Fox  Creek high, 165 Shortcut Road, North Augusta, SC, 29860",FOX CREEK HIGH SCHOOL,N/A,4701020,HIGH,small_purple,D,67.6,,,,,67.6
SC CHARTER SCHOOL,"Royal Live Oaks Academy of the Arts and Sciences Charter, 1398 Church Road, Hardeeville, SC, 29927",ROYAL LIVE OAK ACADEMY OF THE AR,N/A,4701015,COMBO,small_red,F,50.5,55.6,,45,,
AIKEN,"Midland Valley Preparatory Charter, 2432 Jefferson Davis Highway, Graniteville, SC, 29829",MIDLAND VALLEY PREPARATORY SCHOO,N/A,201602,COMBO,small_red,F,43,55,,31.7,,
SC CHARTER SCHOOL,"Imagine Columbia Leadership Academy Charter, 3810 North Main Street, Columbia, SC, 29203",IMAGINE COLUMBIA LEADERSHIP ACAD,N/A,4701016,ELEM,small_red,F,20,20,,,,
ORANGEBURG 3,"Elloree Middle School of Inquiry, 200 Warrior Drive, Elloree, SC, 29047",ELLOREE MIDDLE SCHOOL OF INQUIRY,N/A,3803050,MIDD,small_red,F,27,,,27,,
FLORENCE 1,"Southside Middle, 200 East Howe Springs Road, Florence, SC, 29505",SOUTHSIDE MIDDLE,hhttps://www.fsd1.org/schools/southside/Pages/default.aspx,2101022,MIDD,small_yellow,B,80.9,,,80.9,,
RICHLAND 1,"A. C. Moore Elementary, 333 Etiwan Avenue, Columbia, SC, 29205",A C MOORE ELEMENTARY,http://acmoore.richlandone.org/,4001048,ELEM,small_purple,D,66.7,66.7,,,,
SUMTER 1,"Alice Street Elementary, 251 Alice Drive, Sumter, SC, 29150",ALICE DRIVE ELEMENTARY,http://ade.sumterschools.net/,4301026,ELEM,small_green,A,90.8,90.8,,,,
SUMTER 1,"Alice Drive Middle, 40 Miller Road, Sumter, SC, 29150",ALICE DRIVE MIDDLE,http://adm.sumterschools.net/,4301021,MIDD,small_purple,D,63.6,,,63.6,,
HORRY,"Aynor Elementary, 516 Jordanville Road, Aynor, SC, 29511",AYNOR ELEMENTARY,http://ae.horrycountyschools.net/,2601014,ELEM,small_yellow,B,89.7,89.7,,,,
SPARTANBURG 6,"Arcadia Elementary, 375 Spring Street, Spartanburg, SC, 29301",ARCADIA ELEMENTARY,http://ae.spartanburg6.k12.sc.us/,4206057,ELEM,small_green,A,92.3,92.3,,,,
PICKENS,"Ambler Elementary, 838 Ambler School Road, Pickens, SC, 29671",AMBLER ELEMENTARY,http://aes.pickens.k12.sc.us/,3901010,ELEM,small_green,A,100,100,,,,
HORRY,"Aynor High, 201 Jordanville Road, Aynor, SC, 29511",AYNOR HIGH,http://ah.horrycountyschools.net/,2601001,HIGH,small_green,A,94.5,,,,,94.5
AIKEN,"Aiken Elementary, 2050 Pine Log Road, Aiken, SC, 29803",AIKEN ELEMENTARY,http://aikenel.acps.schoolfusion.us/,201016,ELEM,measle_turquoise,C,73.6,73.6,,,,
AIKEN,"Aiken High, 449 Rutland Drive, Aiken, SC, 29801",AIKEN HIGH,http://aikenhs.acps.schoolfusion.us/,201002,HIGH,measle_turquoise,C,73.5,,,,,73.5
AIKEN,"Aiken Middle, 101 Gator Lane, Aiken, SC, 29803",AIKEN MIDDLE,http://aikenm.acps.schoolfusion.us/,201057,MIDD,small_purple,D,60,,,60,,
AIKEN,"Aiken Performing Arts Academy Charter, 222 Beaufort Street NE, Aiken, SC, 29801",AIKEN PERFORMING ARTS ACADEMY,http://aikenperformingartsacademy.yolasite.com/,201603,HIGH,measle_brown,No Grade,,,,,,
