DISTRICT,ADDRESS,SCHOOL,,SCHOOLID,TYPE,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
ABBEVILLE,"Abbeville High, 701 Washington Street, Abbeville, SC, 29620",ABBEVILLE HIGH,http://www.acsd.k12.sc.us/ahs/index1.html,160001,HIGH,C,77,,,,,77
ABBEVILLE,"Dixie High, One Haynes Street, Due West, SC, 29639",DIXIE HIGH,http://www.acsd.k12.sc.us/dxhs/index.html,160003,COMBO,A,90,,,100,,80.3
ABBEVILLE,"John C. Calhoun Elementary, 750 North Calhoun Street, Calhoun Falls, SC, 29628",JOHN C CALHOUN ELEMENTARY,http://www.acsd.k12.sc.us/jcce/index.htm,160007,ELEM,A,97,97,,,,
ABBEVILLE,"Wright Middle, 111 Highway 71, Abbeville, SC, 29620",WRIGHT MIDDLE,http://www.acsd.k12.sc.us/wrms/index.html,160016,MIDD,B,88.6,,,88.6,,
ABBEVILLE,"Westwood Elementary, 124 Highway 28 Bypass, Abbeville, SC, 29620",WESTWOOD ELEMENTARY,http://www.acsd.k12.sc.us/wwes/index.html,160017,ELEM,B,87.8,87.8,,,,
ABBEVILLE,"Cherokee Trail Elementary, 6219 Highway 184 East, Donalds, SC, 29638",CHEROKEE TRAIL ELEMENTARY,http://www.acsd.k12.sc.us/ctes/index.html,160018,COMBO,A,99.4,99,,99.9,,
ABBEVILLE,"Diamond Hill Elementary, 104 Lake Secession Road, Abbeville, SC, 29620",DIAMOND HILL ELEMENTARY,http://www.acsd.k12.sc.us/dhes/12-13/index.htm,160019,COMBO,A,97.1,100,,93.2,,
AIKEN,"Silver Bluff High, 64 DeSoto Drive, Aiken, SC, 29803",SILVER BLUFF HIGH,http://silverbluffhs.acps.schoolfusion.us/,201001,HIGH,B,82,,,,,82
AIKEN,"Aiken High, 449 Rutland Drive, Aiken, SC, 29801",AIKEN HIGH,http://aikenhs.acps.schoolfusion.us/,201002,HIGH,C,73.5,,,,,73.5
AIKEN,"South Aiken High, 232 East Pine Log Road, Aiken, SC, 29803",SOUTH AIKEN HIGH,http://sahs.acps.schoolfusion.us/,201003,HIGH,C,73.9,,,,,73.9
AIKEN,"Jefferson Elementary, 170 Flint Drive, Warrenville, SC, 29851",JEFFERSON ELEMENTARY,http://jeffersonel.acps.schoolfusion.us/,201005,ELEM,C,77.1,77.1,,,,
AIKEN,"Midland Valley High, 227 Mustang Drive, Graniteville, SC, 29829",MIDLAND VALLEY HIGH,http://mvhs.acps.schoolfusion.us/,201006,HIGH,B,89.4,,,,,89.4
AIKEN,"Paul Knox Middle, 1804 Wells Road, North Augusta, SC, 29841",PAUL KNOX MIDDLE,http://paulknoxm.acps.schoolfusion.us/,201007,MIDD,D,65.6,,,65.6,,
AIKEN,"Langley-Bath-Clearwater Middle, 29 Lions Trail, Warrenville, SC, 29851",LANGLEY-BATH-CLEARWATER MIDDLE,http://lbcm.acps.schoolfusion.us/,201008,MIDD,F,55.8,,,55.8,,
AIKEN,"Leavelle McCampbell Middle, 82 Canal Street, Graniteville, SC, 29829",LEAVELLE-MCCAMPBELL MIDDLE,http://lmms.acps.schoolfusion.us/,201009,MIDD,D,68.3,,,68.3,,
AIKEN,"New Ellenton Middle, 814 Main Street South, New Ellenton, SC, 29809",NEW ELLENTON MIDDLE,http://newellentonm.acps.schoolfusion.us/,201010,MIDD,A,93.3,,,93.3,,
AIKEN,"North Augusta Middle, 725 Old Edgefield Road, North Augusta, SC, 29841",NORTH AUGUSTA MIDDLE,http://naugm.acps.schoolfusion.us/,201011,MIDD,B,85.2,,,85.2,,
AIKEN,"North Augusta High, 2000 Knobcone Avenue, North Augusta, SC, 29841",NORTH AUGUSTA HIGH,http://nahs.acps.schoolfusion.us/,201012,HIGH,C,79.5,,,,,79.5
AIKEN,"Ridge Spring Monetta High, 10 J.P. Kneece Drive, Monetta, SC, 29105",RIDGE SPRING-MONETTA HIGH,http://rsmhs.acps.schoolfusion.us/,201013,HIGH,D,67.8,,,,,67.8
AIKEN,"Wagener-Salley High, 272 Main Street South, Wagener, SC, 29164",WAGENER-SALLEY HIGH,http://wshs.acps.schoolfusion.us/,201015,HIGH,D,64.5,,,,,64.5
AIKEN,"Aiken Elementary, 2050 Pine Log Road, Aiken, SC, 29803",AIKEN ELEMENTARY,http://aikenel.acps.schoolfusion.us/,201016,ELEM,C,73.6,73.6,,,,
AIKEN,"M. B. Kennedy Middle, 274 East Pine Log Road, Aiken, SC, 29803",MINNIE B KENNEDY MIDDLE,http://kennedym.acps.schoolfusion.us/,201017,MIDD,B,88.4,,,88.4,,
AIKEN,"Belvedere Elementary, 201 Rhomboid Place, Belvedere, SC, 29841",BELVEDERE ELEMENTARY,http://belvedere.acps.schoolfusion.us/,201019,ELEM,A,96.3,96.3,,,,
AIKEN,"Byrd Elementary, 1225 Weldon Way, Graniteville, SC, 29829",BYRD ELEMENTARY,http://byrdel.acps.schoolfusion.us/,201021,ELEM,D,64.4,64.4,,,,
AIKEN,"J. D. Lever Elementary, 2404 Columbia Highway, Aiken, SC, 29801",J D LEVER ELEMENTARY,http://jdleverel.acps.schoolfusion.us/,201022,ELEM,C,75.4,75.4,,,,
AIKEN,"Clearwater Elementary, 4552 Augusta Road , Beech Island, SC, 29842",CLEARWATER ELEMENTARY,http://clearwaterel.acps.schoolfusion.us/,201024,ELEM,F,50.9,50.9,,,,
AIKEN,"Busbee Corbett Elementary Middle, 20 A. L. Corbett Circle, Wagener, SC, 29164",BUSBEE CORBETT ELEMENTARY MIDDLE,http://busbeecorbett.acps.schoolfusion.us/,201025,COMBO,F,43.4,35.2,,51.6,,
AIKEN,"East Aiken School of the Arts, 223 Old Wagener Road, Aiken, SC, 29801",EAST AIKEN SCHOOL OF THE ARTS,http://eaikel.acps.schoolfusion.us/,201027,ELEM,C,71.6,71.6,,,,
AIKEN,"Schofield Middle, 224 Kershaw Street Northeast, Aiken, SC, 29801",SCHOFIELD MIDDLE,http://schofieldm.acps.schoolfusion.us/,201028,MIDD,A,95.7,,,95.7,,
AIKEN,"Gloverville Elementary, 114 Gloria Rush Circle, Gloverville, SC, 29828",GLOVERVILLE ELEMENTARY,http://glovervilleel.acps.schoolfusion.us/,201029,ELEM,B,87.4,87.4,,,,
AIKEN,"Greendale Elementary, 505 South Boundary Avenue, New Ellenton, SC, 29809",GREENDALE ELEMENTARY,http://greendaleel.acps.schoolfusion.us/,201030,ELEM,C,76.6,76.6,,,,
AIKEN,"Hammond Hill Elementary, 901 West Woodlawn Avenue, North Augusta, SC, 29841",HAMMOND HILL ELEMENTARY,http://hhe.acps.schoolfusion.us/,201031,ELEM,A,98.4,98.4,,,,
AIKEN,"Jackson Middle, 8217 Atomic Road, Jackson, SC, 29831",JACKSON MIDDLE,http://jacksonm.acps.schoolfusion.us/,201033,MIDD,C,72.6,,,72.6,,
AIKEN,"Millbrook Elementary, 255 East Pine Log Road, Aiken, SC, 29803",MILLBROOK ELEMENTARY,http://millbrookel.acps.schoolfusion.us/,201035,ELEM,A,92.4,92.4,,,,
AIKEN,"North Aiken Elementary Pinecrest Annex, 100 Bears Rock Road, Aiken, SC, 29801",NORTH AIKEN ELEMENTARY/PINECREST,http://northaikenel.acps.schoolfusion.us/,201038,ELEM,F,42,42,,,,
AIKEN,"North Augusta Elementary, 400 East Spring Grove Avenue, North Augusta, SC, 29841",NORTH AUGUSTA ELEMENTARY,http://naugel.acps.schoolfusion.us/,201039,ELEM,A,95.8,95.8,,,,
AIKEN,"Ridge Spring Monetta Elementary-Middle, 422 Hazzard Circle, Ridge Spring, SC, 29129",RIDGE SPRING-MONETTA ELEMENTARY,http://rsmel.acps.schoolfusion.us/,201042,COMBO,F,41.5,39.4,,43.8,,
AIKEN,"Warrenville Elementary, 569 Howlandville Road, Warrenville, SC, 29851",WARRENVILLE ELEMENTARY,http://warrenvilleel.acps.schoolfusion.us/,201052,ELEM,A,91.7,91.7,,,,
AIKEN,"Oakwood-Windsor Elementary, 3773 Charleston Highway, Aiken, SC, 29801",OAKWOOD-WINDSOR ELEMENTARY,http://oakwood.acps.schoolfusion.us/,201054,ELEM,D,61,61,,,,
AIKEN,"Redcliffe Elementary, 22 Double Springs Road, Aiken, SC, 29803",REDCLIFFE ELEMENTARY,http://redcliffeel.acps.schoolfusion.us/,201055,ELEM,D,62.6,62.6,,,,
AIKEN,"Chukker Creek Elementary, 1830 Chukker Creek Road, Aiken, SC, 29803",CHUKKER CREEK ELEMENTARY,http://chukker.acps.schoolfusion.us/,201056,ELEM,B,80.9,80.9,,,,
AIKEN,"Aiken Middle, 101 Gator Lane, Aiken, SC, 29803",AIKEN MIDDLE,http://aikenm.acps.schoolfusion.us/,201057,MIDD,D,60,,,60,,
AIKEN,"Mossy Creek Elementary, 421 West Five Notch Road, North Augusta, SC, 29841",MOSSY CREEK ELEMENTARY,http://mossyel.acps.schoolfusion.us/,201058,ELEM,F,54.2,54.2,,,,
AIKEN,"Lloyd-Kennedy Charter, 222 Beaufort Street Northeast , Aiken, SC, 29801",LLOYD-KENNEDY CHARTER SCHOOL,http://aikenperformingartsacademy.yolasite.com/,201601,COMBO,F,33,,,33,,
AIKEN,"Midland Valley Preparatory Charter, 2432 Jefferson Davis Highway, Graniteville, SC, 29829",MIDLAND VALLEY PREPARATORY SCHOO,0,201602,COMBO,F,43,55,,31.7,,
AIKEN,"Aiken Performing Arts Academy Charter, 222 Beaufort Street NE, Aiken, SC, 29801",AIKEN PERFORMING ARTS ACADEMY,http://aikenperformingartsacademy.yolasite.com/,201603,HIGH,*,,,,,,
ALLENDALE,"Allendale Fairfax High, 3581 Allendale-Fairfax Highway, Fairfax, SC, 29827",ALLENDALE-FAIRFAX HIGH,http://www.acs.k12.sc.us/Domain/11,301001,HIGH,F,48.2,,,,,48.2
ALLENDALE,"Allendale Elementary, 4561 Allendale-Fairfax Highway, Allendale, SC, 29810",ALLENDALE ELEMENTARY,http://www.acs.k12.sc.us/Domain/8,301004,ELEM,C,71.2,71.2,,,,
ALLENDALE,"Fairfax Elementary, 734 14th Street East, Fairfax, SC, 29827",FAIRFAX ELEMENTARY,http://www.acs.k12.sc.us/Domain/9,301006,ELEM,C,77.5,77.5,,,,
ALLENDALE,"Allendale-Fairfax Middle, 3305 Allendale-Fairfax Highway, Fairfax, SC, 29827",ALLENDALE-FAIRFAX MIDDLE,http://www.acs.k12.sc.us/Domain/10,301008,MIDD,F,52,,,52,,
ANDERSON 1,"Palmetto High, 804 North Hamilton Street, Williamston, SC, 29697",PALMETTO HIGH,http://www.anderson1.k12.sc.us/Domain/971,401001,HIGH,B,89.7,,,,,89.7
ANDERSON 1,"Powdersville High, 145 Hood Road, Greenville, SC, 29611",POWDERSVILLE HIGH,http://www.anderson1.k12.sc.us/Domain/1278,401002,HIGH,*,,,,,,
ANDERSON 1,"Wren High, 905 Wren School Road, Piedmont, SC, 29673",WREN HIGH,http://www.anderson1.k12.sc.us/Domain/1101,401003,HIGH,B,81,,,,,81
ANDERSON 1,"Palmetto Elementary, 1 Roberts Boulevard, Williamston, SC, 29697",PALMETTO ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/330,401004,ELEM,B,87.9,87.9,,,,
ANDERSON 1,"Cedar Grove Elementary, 107 Melvin Lane, Williamston, SC, 29697",CEDAR GROVE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/121,401005,ELEM,B,87.5,87.5,,,,
ANDERSON 1,"Wren Middle, 1010 Wren School Road, Piedmont, SC, 29673",WREN MIDDLE,http://www.anderson1.k12.sc.us/Domain/879,401008,MIDD,B,86.5,,,86.5,,
ANDERSON 1,"West Pelzer Elementary, 10 West Stewart Street, West Pelzer, SC, 29669",WEST PELZER ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/557,401009,ELEM,A,100,100,,,,
ANDERSON 1,"Spearman Elementary, 2001 Easley Highway, Piedmont, SC, 29673",SPEARMAN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/488,401011,ELEM,B,86.7,86.7,,,,
ANDERSON 1,"Palmetto Middle, 803 North Hamilton Street, Williamston, SC, 29697",PALMETTO MIDDLE,http://www.anderson1.k12.sc.us/Domain/698,401012,MIDD,A,91.1,,,91.1,,
ANDERSON 1,"Wren Elementary, 226 Roper Road, Piedmont, SC, 29673",WREN ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/624,401013,ELEM,A,99.5,99.5,,,,
ANDERSON 1,"Hunt Meadows Elementary, 420 Hunt Road, Easley, SC, 29642",HUNT MEADOWS ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/262,401014,ELEM,B,83.3,83.3,,,,
ANDERSON 1,"Powdersville Middle, 135 Hood Road, Greenville, SC, 29611",POWDERSVILLE MIDDLE,http://www.anderson1.k12.sc.us/Domain/793,401061,MIDD,A,93.6,,,93.6,,
ANDERSON 1,"Powdersville Elementary, 139 Hood Road, Greenville, SC, 29611",POWDERSVILLE ELEMENTARY,http://www.anderson1.k12.sc.us/Domain/418,401062,ELEM,A,92.9,92.9,,,,
ANDERSON 2,"Belton Honea Path High, 11000 Belton-Honea Path Highway, Honea Path, SC, 29654",BELTON-HONEA PATH HIGH,http://bhp.anderson2.org/,402012,HIGH,A,91.5,,,,,91.5
ANDERSON 2,"Belton Elementary, 202 Watkins Street, Belton, SC, 29627",BELTON ELEMENTARY,http://bes.anderson2.org/,402013,ELEM,A,94.9,94.9,,,,
ANDERSON 2,"Belton Middle, 102 Cherokee Road, Belton, SC, 29627",BELTON MIDDLE,http://bms.anderson2.org/,402014,MIDD,A,90.6,,,90.6,,
