Address,CDS,RTYPE,STYPEleMiddle Schoolentary,SPED,SIZE,CHARTER,SNAME,DNAME,Table,CNAME,INCLUDE,VALID,API12B,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,MR_NUM,MR_SIG,MR_API,MR_GT,MR_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,EL_NUM,EL_SIG,EL_API,EL_GT,EL_TARG,DI_NUM,DI_SIG,DI_API,DI_GT,DI_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_91,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E91,PCST_E91,CW_CSTE,VCST_M28,PCST_M28,VCST_M91,PCST_M91,CW_CSTM,VCST_S28,PCST_S28,VCST_S91,PCST_S91,CWS_91,VCST_H28,PCST_H28,VCST_H91,PCST_H91,CW_CSTH,VCHS_E91,PCHS_E91,CW_CHSE,VCHS_M91,PCHS_M91,CW_CHSM,TOT_28,TOT_91,CW_SCI,VCST_LS10,PCST_LS10,CWM2_28,VCSTM2_28,PCSTM2_28,CWM2_91,VCSTM2_91,PCSTM2_91,CWS2_91,VCSTS2_91,PCSTS2_91,IRG5
"Lake Hills Elementary, 16346 Village Meadow Drive, Riverside, CA, 92503",33669770113605,S,Elementary,,,,Lake Hills Elementary,Alvord Unified,3,Riverside,1,484,896,9,10,A,A,25,No,860,,,1,No,,,,41,No,969,,,17,No,993,,,223,Yes,854,A,A,1,No,,,,166,Yes,928,A,A,9,No,,,,224,Yes,856,A,A,105,Yes,856,A,A,63,No,725,,,5,0,8,4,46,0,34,2,45,10,0,22,1,12,No,94,95,31,31,N/A,96,8,20,31,26,14,3.17,,,25,75,0,0,0,518,1,516,181.4308110,484,232.320,0,0.000,56.8,482,154.240,0,0.000,37.7,112,22.400,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,408.96,0.00,5.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Clara Barton Elementary, 7437 Corona Valley Avenue, Eastvale, CA, 92880-8700",33670330100974,S,Elementary,,,,Clara Barton Elementary,Corona-Norco Unified,3,Riverside,1,1008,899,9,7,A,A,104,Yes,891,A,A,2,No,,,,116,Yes,959,A,A,58,No,944,,,448,Yes,863,A,A,3,No,,,,275,Yes,925,A,A,2,No,,,,285,Yes,846,A,A,196,Yes,837,A,A,101,No,748,,,10,0,12,6,44,0,27,0,27,6,0,12,8,8,Yes,98,98,24,32,N/A,92,7,12,34,32,16,3.39,,,22,58,20,0,0,1036,0,1036,185.9550972,1008,483.840,0,0.000,57.3,1008,322.560,0,0.000,38.2,187,37.400,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,843.80,0.00,4.4,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Temescal Valley Elementary, 22950 Claystone Avenue, Corona, CA, 92883-7151",33670330100982,S,Elementary,,,,Temescal Valley Elementary,Corona-Norco Unified,3,Riverside,1,568,919,9,10,A,A,39,No,911,,,1,No,,,,32,No,974,,,22,No,972,,,201,Yes,890,A,A,4,No,,,,265,Yes,933,A,A,3,No,,,,198,Yes,877,A,A,73,No,874,,,54,No,763,,,8,0,6,4,36,1,45,1,34,5,0,6,8,8,No,95,96,25,29,N/A,98,6,16,34,24,19,3.32,,,20,61,18,0,0,601,1,600,182.9062544,568,272.640,0,0.000,57.1,567,181.440,0,0.000,38.0,115,23.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,477.08,0.00,4.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Dwight D. Eisenhower Elementary, 3355 Mountain Gate Drive, Corona, CA, 92882-8858",33670330105791,S,Elementary,,,,Dwight D. Eisenhower Elementary,Corona-Norco Unified,3,Riverside,1,698,915,9,10,A,A,36,No,898,,,3,No,,,,80,No,965,,,25,No,914,,,182,Yes,886,A,A,6,No,,,,360,Yes,919,A,A,6,No,,,,114,Yes,881,A,A,54,No,857,,,135,Yes,790,5,795,5,0,11,4,26,1,51,1,15,7,0,3,6,16,No,97,97,26,28,N/A,100,2,10,31,34,23,3.66,,,17,64,18,0,0,721,0,721,186.0210286,698,335.040,0,0.000,57.1,698,223.360,0,0.000,38.1,141,28.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,586.60,0.00,4.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Eastvale Elementary, 13031 Orange Street, Eastvale, CA, 92880",33670330110643,S,Elementary,,,,Eastvale Elementary,Corona-Norco Unified,3,Riverside,1,943,911,9,10,A,A,109,Yes,903,A,A,3,No,,,,150,Yes,968,A,A,65,No,941,,,392,Yes,879,A,A,4,No,,,,207,Yes,922,A,A,13,No,925,,,318,Yes,874,A,A,168,Yes,865,A,A,113,No,780,,,12,0,16,7,41,0,21,1,33,8,0,8,12,10,Yes,96,97,27,32,N/A,92,5,16,33,29,17,3.38,,,20,59,21,0,0,986,0,986,184.5629054,943,452.640,0,0.000,57.4,943,301.760,0,0.000,38.3,171,34.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,788.60,0.00,4.3,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"John F. Kennedy High, 1951 Third Street, Norco, CA, 92860",33670330110759,S,High School,,,,John F. Kennedy High,Corona-Norco Unified,3,Riverside,1,315,866,9,9,A,A,27,No,833,,,0,No,,,,28,No,931,,,16,No,938,,,111,Yes,841,A,A,2,No,,,,129,Yes,870,A,A,2,No,,,,97,Yes,837,A,A,24,No,860,,,4,No,,,,9,0,8,5,34,1,42,1,25,11,0,1,11,1,No,95,99,N/A,N/A,29,98,10,19,32,24,16,3.17,,,0,0,0,0,100,334,0,331,180.0539161,0,0.000,315,94.500,24.8,0,0.000,313,62.600,16.4,0,0.000,301,66.220,17.3,0,0.000,306,70.380,18.4,125,37.500,9.8,126,37.800,9.9,0.00,381.70,3.1,120,12.000,0.0,0,0.000,0.1,2,0.200,0.1,10,0.500,
"Rosa Parks Elementary, 13830 Whispering Hills Drive, Corona, CA, 92880",33670330113654,S,Elementary,,,,Rosa Parks Elementary,Corona-Norco Unified,3,Riverside,1,934,894,9,6,A,A,84,No,834,,,4,No,,,,160,Yes,941,A,A,60,No,938,,,394,Yes,868,A,A,1,No,,,,227,Yes,916,A,A,4,No,,,,299,Yes,846,A,A,159,Yes,858,A,A,70,No,739,,,9,0,17,7,43,0,24,0,30,4,0,10,9,6,Yes,97,99,27,32,N/A,98,4,12,32,33,19,3.49,,,21,58,21,0,0,963,0,963,186.4130907,934,448.320,0,0.000,57.4,933,298.560,0,0.000,38.3,168,33.600,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,780.48,0.00,4.3,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Lincoln Alternative Elementary, 1041 Fullerton Avenue, Corona, CA, 92879-2518",33670336031835,S,Elementary,,,,Lincoln Alternative Elementary,Corona-Norco Unified,3,Riverside,1,762,897,9,6,A,A,22,No,922,,,5,No,,,,102,Yes,964,A,A,21,No,963,,,315,Yes,838,A,A,1,No,,,,286,Yes,929,A,A,9,No,,,,251,Yes,820,A,A,177,Yes,790,5,795,65,No,752,,,3,1,13,3,41,0,37,1,31,8,0,13,14,5,Yes,99,100,27,31,N/A,93,8,13,32,25,22,3.39,,,20,60,20,0,0,771,0,771,186.3361569,762,365.760,0,0.000,57.3,762,243.840,0,0.000,38.2,146,29.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,638.80,0.00,4.6,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Susan B. Anthony Elementary, 2665 Gilbert Avenue, Corona, CA, 92881-8677",33670336112957,S,Elementary,,,,Susan B. Anthony Elementary,Corona-Norco Unified,3,Riverside,1,635,909,9,8,A,A,38,No,899,,,1,No,,,,53,No,943,,,23,No,938,,,189,Yes,879,A,A,1,No,,,,327,Yes,920,A,A,3,No,,,,138,Yes,861,A,A,76,No,858,,,81,No,803,,,6,0,9,4,30,0,51,0,21,7,0,8,5,9,No,97,98,26,30,N/A,91,3,10,31,36,21,3.61,,,19,60,21,0,0,655,0,655,186.3438670,635,304.800,0,0.000,57.3,635,203.200,0,0.000,38.2,121,24.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,532.20,0.00,4.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Corona Ranch Elementary, 785 Village Loop Drive, Corona, CA, 92879-8835",33670336120364,S,Elementary,,,,Corona Ranch Elementary,Corona-Norco Unified,3,Riverside,1,747,905,9,10,A,A,51,No,917,,,4,No,,,,76,No,975,,,21,No,942,,,416,Yes,873,A,A,0,No,,,,174,Yes,941,A,A,5,No,,,,398,Yes,872,A,A,221,Yes,842,A,A,96,No,768,,,7,1,10,3,56,0,23,1,50,6,0,16,17,10,No,96,96,27,29,N/A,98,18,30,29,15,8,2.66,,,20,60,19,0,0,786,0,785,178.8989936,747,358.560,0,0.000,56.9,747,239.040,0,0.000,37.9,163,32.600,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,630.20,0.00,5.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"La Quinta High, 79-255 Westward Ho Drive, La Quinta, CA, 92253",33670583330669,S,High School,,,,La Quinta High,Desert Sands Unified,3,Riverside,1,2141,832,9,10,A,A,56,No,826,,,7,No,,,,53,No,856,,,21,No,918,,,1282,Yes,802,A,A,1,No,,,,703,Yes,883,A,A,7,No,,,,1198,Yes,796,4,800,372,Yes,722,5,727,190,Yes,639,8,647,3,0,2,1,60,0,33,0,55,20,1,5,22,8,No,96,97,N/A,N/A,22,97,13,26,31,20,10,2.87,,,0,0,0,0,100,2235,1,2219,174.4137391,0,0.000,2131,639.300,26.9,0,0.000,2104,420.800,17.7,0,0.000,2080,457.600,19.2,0,0.000,1366,314.180,13.2,779,233.700,9.8,785,235.500,9.9,0.00,2380.63,3.1,749,74.900,0.0,0,0.000,0.1,35,3.500,0.0,23,1.150,
"Palm Desert Charter Middle, 74-200 Rutledge Way, Palm Desert, CA, 92260-2646",33670586031991,S,Middle School,,,Y,Palm Desert Charter Middle,Desert Sands Unified,3,Riverside,1,1237,888,9,10,A,A,20,No,857,,,4,No,,,,52,No,996,,,18,No,907,,,531,Yes,830,A,A,2,No,,,,576,Yes,929,A,A,32,No,909,,,615,Yes,833,A,A,229,Yes,754,5,759,97,No,737,,,2,0,4,1,44,0,46,3,49,13,0,5,21,6,No,97,97,N/A,24,21,93,11,18,29,25,17,3.18,,,0,0,34,66,0,1288,1,1285,180.9530477,1237,593.760,0,0.000,51.5,1237,395.840,0,0.000,34.3,408,81.600,0,0.000,0.0,408,81.600,0,0.000,7.1,0,0.000,0.0,0,0.000,0.0,1152.80,0.00,7.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
