Address,CDS,RTYPE,STYPEleMiddle ScHigh Schooloolentary,SPED,SIZE,CHARTER,SNAME,DNAME,Table,CNAME,INCLUDE,VALID,API12B,ST_RANK,SIM_RANK,GR_TARG,API_TARG,AA_NUM,AA_SIG,AA_API,AA_GT,AA_TARG,AI_NUM,AI_SIG,AI_API,AI_GT,AI_TARG,AS_NUM,AS_SIG,AS_API,AS_GT,AS_TARG,FI_NUM,FI_SIG,FI_API,FI_GT,FI_TARG,HI_NUM,HI_SIG,HI_API,HI_GT,HI_TARG,PI_NUM,PI_SIG,PI_API,PI_GT,PI_TARG,WH_NUM,WH_SIG,WH_API,WH_GT,WH_TARG,MR_NUM,MR_SIG,MR_API,MR_GT,MR_TARG,SD_NUM,SD_SIG,SD_API,SD_GT,SD_TARG,EL_NUM,EL_SIG,EL_API,EL_GT,EL_TARG,DI_NUM,DI_SIG,DI_API,DI_GT,DI_TARG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_91,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E91,PCST_E91,CW_CSTE,VCST_M28,PCST_M28,VCST_M91,PCST_M91,CW_CSTM,VCST_S28,PCST_S28,VCST_S91,PCST_S91,CWS_91,VCST_H28,PCST_H28,VCST_H91,PCST_H91,CW_CSTH,VCHS_E91,PCHS_E91,CW_CHSE,VCHS_M91,PCHS_M91,CW_CHSM,TOT_28,TOT_91,CW_SCI,VCST_LS10,PCST_LS10,CWM2_28,VCSTM2_28,PCSTM2_28,CWM2_91,VCSTM2_91,PCSTM2_91,CWS2_91,VCSTS2_91,PCSTS2_91,IRG5
"Donald D. Lum Elementary, 1801 Sandcreek Way, Alameda, CA, 94501-6024",01611196090005,S,Elementary,,,,Donald D. Lum Elementary,Alameda City Unified,1,Alameda,1,300,894,9,9,A,A,27,No,869,,,0,No,,,,113,Yes,917,A,A,36,No,868,,,26,No,839,,,5,No,,,,87,Yes,895,A,A,6,No,,,,104,Yes,844,A,A,128,Yes,866,A,A,39,No,731,,,10,0,36,12,9,2,29,2,33,4,0,40,3,11,No,95,96,25,25,N/A,98,6,16,31,34,13,3.31,,,21,79,0,0,0,317,0,316,183.1525333,300,144.000,0,0.000,56.9,300,96.000,0,0.000,37.9,66,13.200,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,253.20,0.00,5.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Frank Otis Elementary, 3010 Fillmore Street, Alameda, CA, 94501-5544",01611196090021,S,Elementary,,,,Frank Otis Elementary,Alameda City Unified,1,Alameda,1,324,906,9,5,A,A,17,No,734,,,0,No,,,,82,Yes,924,A,A,21,No,946,,,47,No,848,,,4,No,,,,149,Yes,930,A,A,4,No,,,,65,Yes,823,A,A,83,Yes,888,A,A,33,No,792,,,5,0,26,7,14,1,45,1,19,9,0,24,4,10,No,98,99,24,28,N/A,99,4,14,15,41,26,3.72,,,28,72,0,0,0,336,3,332,188.3748617,324,155.520,0,0.000,56.6,324,103.680,0,0.000,37.7,79,15.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,275.00,0.00,5.7,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Franklin Elementary, 1433 San Antonio Avenue, Alameda, CA, 94501-4039",01611196090039,S,Elementary,,,,Franklin Elementary,Alameda City Unified,1,Alameda,1,207,916,9,7,A,A,12,No,876,,,2,No,,,,33,No,911,,,12,No,959,,,33,No,859,,,1,No,,,,111,Yes,940,A,A,3,No,,,,44,No,887,,,35,No,880,,,20,No,756,,,6,1,16,6,16,0,54,1,20,8,0,15,3,9,No,95,97,25,29,N/A,99,2,11,21,38,28,3.79,,,26,74,0,0,0,218,1,216,187.2067129,207,99.360,0,0.000,56.1,207,66.240,0,0.000,37.4,58,11.600,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,177.20,0.00,6.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Lincoln Middle, 1250 Fernside Boulevard, Alameda, CA, 94501-4808",01611196090054,S,Middle School,,,,Lincoln Middle,Alameda City Unified,1,Alameda,1,938,912,9,6,A,A,47,No,808,,,3,No,,,,380,Yes,946,A,A,47,No,854,,,73,No,838,,,6,No,,,,358,Yes,917,A,A,24,No,891,,,199,Yes,847,A,A,162,Yes,850,A,A,95,No,677,,,5,0,40,5,8,1,38,3,20,21,0,9,16,10,No,98,99,N/A,29,27,98,4,13,21,36,26,3.67,,,0,0,36,64,0,959,0,958,188.2569468,937,449.760,0,0.000,52.3,934,298.880,0,0.000,34.7,282,56.400,0,0.000,0.0,277,55.400,0,0.000,6.4,0,0.000,0.0,0,0.000,0.0,860.44,0.00,6.6,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Albany High, 603 Key Route Boulevard, Albany, CA, 94706-1422",01611270130450,S,High School,,,,Albany High,Albany City Unified,1,Alameda,1,845,852,9,7,A,A,45,No,700,,,2,No,,,,280,Yes,887,A,A,11,No,854,,,157,Yes,783,5,788,1,No,,,,263,Yes,881,A,A,86,No,848,,,205,Yes,765,5,770,94,No,684,,,89,No,667,,,5,0,34,1,18,0,32,10,24,0,0,12,14,9,No,98,98,N/A,N/A,28,24,3,8,22,38,28,3.80,,,0,0,0,0,100,890,8,873,180.2586920,0,0.000,841,252.300,27.8,0,0.000,799,159.800,17.6,0,0.000,719,158.180,17.4,0,0.000,547,125.810,13.8,297,89.100,9.8,291,87.300,9.6,0.00,908.84,3.0,272,27.200,0.0,0,0.000,0.5,45,4.500,0.5,93,4.650,
"Ocean View Elementary, 1000 Jackson Street, Albany, CA, 94706",01611276116222,S,Elementary,,,,Ocean View Elementary,Albany City Unified,1,Alameda,1,316,913,9,9,A,A,18,No,863,,,1,No,,,,108,Yes,944,A,A,6,No,,,,73,Yes,852,A,A,1,No,,,,79,Yes,921,A,A,30,No,944,,,108,Yes,866,A,A,121,Yes,879,A,A,40,No,828,,,5,0,38,2,22,0,24,9,33,0,0,40,8,9,No,95,95,24,28,N/A,53,2,5,16,28,50,4.19,,,29,71,0,0,0,356,1,355,186.0412615,316,151.680,0,0.000,56.5,315,100.800,0,0.000,37.5,80,16.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,268.48,0.00,6.0,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Martin Luther King Middle, 1781 Rose Street, Berkeley, CA, 94703-1048",01611436056857,S,Middle School,,,,Martin Luther King Middle,Berkeley Unified,1,Alameda,1,881,884,9,8,A,A,161,Yes,732,5,737,2,No,,,,86,No,909,,,5,No,,,,182,Yes,802,A,A,1,No,,,,340,Yes,985,A,A,92,No,936,,,375,Yes,783,5,788,103,Yes,704,5,709,117,Yes,696,5,701,19,0,10,1,21,0,38,10,42,24,0,9,7,13,No,97,97,N/A,24,25,89,7,9,19,26,38,3.79,,,0,0,30,70,0,925,1,922,183.2416955,881,422.880,0,0.000,51.0,879,281.280,0,0.000,33.9,313,62.600,0,0.000,0.0,313,62.600,0,0.000,7.5,0,0.000,0.0,0,0.000,0.0,829.36,0.00,7.5,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Jefferson Elementary, 1400 Ada Street, Berkeley, CA, 94702-1217",01611436090252,S,Elementary,,,,Jefferson Elementary,Berkeley Unified,1,Alameda,1,201,918,9,10,A,A,35,No,794,,,0,No,,,,21,No,940,,,0,No,,,,39,No,896,,,1,No,,,,78,Yes,987,A,A,25,No,897,,,81,Yes,833,A,A,28,No,859,,,31,No,781,,,17,0,10,0,19,0,39,13,39,6,0,14,1,15,No,99,100,21,25,N/A,94,8,8,14,29,41,3.87,,,20,80,0,0,0,207,1,206,185.3898781,201,96.480,0,0.000,56.7,200,64.000,0,0.000,37.6,49,9.800,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,170.28,0.00,5.8,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Berkeley Arts Magnet at Whittier, 1645 Milvia Street, Berkeley, CA, 94709-2073",01611436097729,S,Elementary,,,,Berkeley Arts Magnet at Whittier,Berkeley Unified,1,Alameda,1,269,897,9,8,A,A,44,No,789,,,0,No,,,,31,No,901,,,0,No,,,,50,Yes,859,A,A,1,No,,,,91,Yes,971,A,A,43,No,916,,,108,Yes,828,A,A,54,Yes,833,A,A,34,No,795,,,16,0,12,0,18,0,34,15,40,10,0,18,5,12,No,97,97,21,24,N/A,91,3,12,21,26,38,3.85,,,20,80,0,0,0,286,0,283,184.2468192,269,129.120,0,0.000,56.3,269,86.080,0,0.000,37.6,70,14.000,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,229.20,0.00,6.1,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
"Chabot Elementary, 19104 Lake Chabot Road, Castro Valley, CA, 94546-2936",01611506090369,S,Elementary,,,,Chabot Elementary,Castro Valley Unified,1,Alameda,1,297,913,9,7,A,A,8,No,,,,0,No,,,,47,No,960,,,5,No,,,,68,Yes,880,A,A,1,No,,,,120,Yes,925,A,A,47,No,890,,,52,Yes,858,A,A,48,No,907,,,26,No,823,,,3,0,16,2,24,1,40,16,17,1,0,12,4,9,No,99,99,24,31,N/A,98,2,13,26,40,20,3.63,,,20,80,0,0,0,301,0,301,188.0931266,297,142.560,0,0.000,56.3,297,95.040,0,0.000,37.5,78,15.600,0,0.000,0.0,0,0.000,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,253.20,0.00,6.2,0,0.000,0.0,0,0.000,0.0,0,0.000,0.0,0,0.000,
