School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Accomack County ,Arcadia Middle ,Mathematics,59.86%,0,"Arcadia Middle , Accomack County , No Exact Location",No Exact Location
2011-2012,Alleghany County ,Boiling Spring Elementary,Mathematics,81.03%,720,"Boiling Spring Elementary, Alleghany County , No Exact Location",No Exact Location
2011-2012,Alleghany County ,Falling Spring Elementary,Mathematics,68.92%,780,"Falling Spring Elementary, Alleghany County , No Exact Location",No Exact Location
2011-2012,Augusta County ,Ladd Elementary,Mathematics,75.00%,580,"Ladd Elementary, Augusta County , No Exact Location",No Exact Location
2011-2012,Buckingham County ,Buckingham Primary,Mathematics,50.00%,2201,"Buckingham Primary, Buckingham County , No Exact Location",No Exact Location
2011-2012,Buckingham County ,Dillwyn Elementary,Mathematics,47.64%,2204,"Dillwyn Elementary, Buckingham County , No Exact Location",No Exact Location
2011-2012,Buckingham County ,Dillwyn Primary,Mathematics,60.00%,2204,"Dillwyn Primary, Buckingham County , No Exact Location",No Exact Location
2011-2012,Buckingham County ,Gold Hill Elementary,Mathematics,58.23%,870,"Gold Hill Elementary, Buckingham County , No Exact Location",No Exact Location
2011-2012,Carroll County ,Carroll County Intermediate,Mathematics,59.56%,1690,"Carroll County Intermediate, Carroll County , No Exact Location",No Exact Location
2011-2012,Carroll County ,Woodlawn School,Mathematics,68.15%,220,"Woodlawn School, Carroll County , No Exact Location",No Exact Location
2011-2012,Danville City ,Edwin A. Gibson Middle,Mathematics,65.52%,106,"Edwin A. Gibson Middle, Danville City , No Exact Location",No Exact Location
2011-2012,Danville City ,Irvin W. Taylor Elementary,Mathematics,45.65%,800,"Irvin W. Taylor Elementary, Danville City , No Exact Location",No Exact Location
2011-2012,Danville City ,W. Townes Lea Elementary,Mathematics,58.87%,1010,"W. Townes Lea Elementary, Danville City , No Exact Location",No Exact Location
2011-2012,Danville City ,Woodrow Wilson Elementary,Mathematics,77.00%,220,"Woodrow Wilson Elementary, Danville City , No Exact Location",No Exact Location
2011-2012,Dickenson County ,Clintwood Elementary,Mathematics,63.28%,1870,"Clintwood Elementary, Dickenson County , No Exact Location",No Exact Location
2011-2012,Dickenson County ,Ervinton High,Mathematics,27.46%,106,"Ervinton High, Dickenson County , No Exact Location",No Exact Location
2011-2012,Dinwiddie County ,Dinwiddie Junior High,Mathematics,47.33%,2204,"Dinwiddie Junior High, Dinwiddie County , No Exact Location",No Exact Location
2011-2012,Dinwiddie County ,Dinwiddie Senior High,Mathematics,31.54%,2204,"Dinwiddie Senior High, Dinwiddie County , No Exact Location",No Exact Location
2011-2012,Fairfax County ,South County Secondary,Mathematics,72.77%,50,"South County Secondary, Fairfax County , No Exact Location",No Exact Location
2011-2012,Fairfax County ,Woodson Adult High,Mathematics,82.35%,220,"Woodson Adult High, Fairfax County , No Exact Location",No Exact Location
