School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Montgomery County ,Eastern Montgomery High,Mathematics,20.74%,106,No Exact Location,"Eastern Montgomery High, Montgomery County , VA"
2011-2012,Franklin City ,Franklin High,Mathematics,22.86%,30,No Exact Location,"Franklin High, Franklin City , VA"
2011-2012,Richmond City ,Henderson Middle,Mathematics,23.25%,10,No Exact Location,"Henderson Middle, Richmond City , VA"
2011-2012,Portsmouth City ,I.C. Norcom High,Mathematics,23.44%,600,No Exact Location,"I.C. Norcom High, Portsmouth City , VA"
2011-2012,Newport News City ,Denbigh High,Mathematics,24.54%,2204,No Exact Location,"Denbigh High, Newport News City , VA"
2011-2012,Richmond City ,Huguenot High,Mathematics,27.04%,600,No Exact Location,"Huguenot High, Richmond City , VA"
2011-2012,Richmond City ,John Marshall High,Mathematics,27.14%,360,No Exact Location,"John Marshall High, Richmond City , VA"
2011-2012,Norfolk City ,Tidewater Park Elementary,Mathematics,27.45%,871,No Exact Location,"Tidewater Park Elementary, Norfolk City , VA"
2011-2012,Hopewell City ,Hopewell High,Mathematics,27.63%,600,No Exact Location,"Hopewell High, Hopewell City , VA"
2011-2012,Newport News City ,Heritage High,Mathematics,28.53%,10,No Exact Location,"Heritage High, Newport News City , VA"
2011-2012,Montgomery County ,Christiansburg High,Mathematics,29.04%,100,No Exact Location,"Christiansburg High, Montgomery County , VA"
2011-2012,Roanoke City ,William Fleming High,Mathematics,29.40%,1010,No Exact Location,"William Fleming High, Roanoke City , VA"
2011-2012,Hampton City ,Jane H. Bryan Elementary,Mathematics,29.41%,800,No Exact Location,"Jane H. Bryan Elementary, Hampton City , VA"
2011-2012,Wythe County ,Fort Chiswell High,Mathematics,30.36%,440,No Exact Location,"Fort Chiswell High, Wythe County , VA"
2011-2012,Henrico County ,Varina High,Mathematics,30.41%,1010,No Exact Location,"Varina High, Henrico County , VA"
2011-2012,Suffolk City ,Lakeland High,Mathematics,30.50%,580,No Exact Location,"Lakeland High, Suffolk City , VA"
2011-2012,Suffolk City ,King`s Fork High,Mathematics,30.76%,420,No Exact Location,"King`s Fork High, Suffolk City , VA"
2011-2012,Russell County ,Castlewood High,Mathematics,30.85%,2222,No Exact Location,"Castlewood High, Russell County , VA"
2011-2012,Middlesex County ,Middlesex High,Mathematics,31.28%,500,No Exact Location,"Middlesex High, Middlesex County , VA"
2011-2012,Manassas City ,Osbourn High,Mathematics,31.89%,570,No Exact Location,"Osbourn High, Manassas City , VA"
2011-2012,Norfolk City ,Lindenwood Elementary,Mathematics,31.93%,970,No Exact Location,"Lindenwood Elementary, Norfolk City , VA"
2011-2012,Richmond City ,George Wythe High,Mathematics,32.28%,30,No Exact Location,"George Wythe High, Richmond City , VA"
2011-2012,Hampton City ,John B. Cary Elementary,Mathematics,32.28%,800,No Exact Location,"John B. Cary Elementary, Hampton City , VA"
2011-2012,Newport News City ,Sedgefield Elementary,Mathematics,32.94%,50,No Exact Location,"Sedgefield Elementary, Newport News City , VA"
2011-2012,Westmoreland County ,Washington & Lee High,Mathematics,32.95%,1010,No Exact Location,"Washington & Lee High, Westmoreland County , VA"
2011-2012,Hampton City ,Hampton High,Mathematics,33.42%,10,No Exact Location,"Hampton High, Hampton City , VA"
2011-2012,Hampton City ,Phoebus High,Mathematics,33.46%,70,No Exact Location,"Phoebus High, Hampton City , VA"
2011-2012,Richmond City ,Binford Middle,Mathematics,33.63%,720,No Exact Location,"Binford Middle, Richmond City , VA"
2011-2012,Henrico County ,L. Douglas Wilder Middle,Mathematics,33.79%,580,No Exact Location,"L. Douglas Wilder Middle, Henrico County , VA"
2011-2012,King and Queen County ,Central High,Mathematics,33.80%,880,No Exact Location,"Central High, King and Queen County , VA"
2011-2012,Newport News City ,Newsome Park Elementary,Mathematics,33.98%,1020,No Exact Location,"Newsome Park Elementary, Newport News City , VA"
2011-2012,Lynchburg City ,Heritage High,Mathematics,34.11%,10,No Exact Location,"Heritage High, Lynchburg City , VA"
2011-2012,York County ,Bruton High,Mathematics,34.14%,1790,No Exact Location,"Bruton High, York County , VA"
2011-2012,Lee County ,Lee High,Mathematics,34.38%,970,No Exact Location,"Lee High, Lee County , VA"
2011-2012,Norfolk City ,Lake Taylor Middle,Mathematics,34.41%,580,No Exact Location,"Lake Taylor Middle, Norfolk City , VA"
2011-2012,Henrico County ,Highland Springs High,Mathematics,34.64%,540,No Exact Location,"Highland Springs High, Henrico County , VA"
