FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYPE,GRADE_RANGE,SCHOOL_ADDRESS,SCHOOL_CITY,STATE,SCHOOL_ZIP,MAIL_ADDRESS,MAIL_CITY,MAIL_ZIP,PRINCIPAL_FNAME,PRINCIPAL_LNAME,PRINCIPAL_MNAME,EMAIL_ADDRESS,SCHOOL_PHONE,SCHOOL_FAX
2012,601,Appling County,0103,Appling County High School,H,09-12,482 Blackshear Hwy,Baxley,GA,31513-6708,482 Blackshear Hwy,Baxley,31513-6708,Gene,Starr,A.,gstarr@appling.k12.ga.us,912.367.8610,912.366.9877
2012,601,Appling County,0109,Baxley Wilderness Institute,H,07-11,1510 Deens Landing Rd ,Baxley,GA,31513-2999,1510 Deens Landing Rd ,Baxley,31513-2999,Gene,Starr,A.,bwi-princ@amikids.org,912.367.3383,
2012,601,Appling County,0177,Appling County Elementary School,E,03-05,680 Blackshear Hwy ,Baxley,GA,31513-6709,680 Blackshear Hwy ,Baxley,31513-6709,Areatha,Virgil,,avirgil@appling.k12.ga.us,912.367.8640,912.367.8649
2012,601,Appling County,0195,Appling County Middle School,M,06-08,2997 Blackshear Hwy,Baxley,GA,31513-4303,2997 Blackshear Hwy,Baxley,31513-4303,Dr. Lynn,Overstreet,,lynn.overstreet@appling.k12.ga.us,912.367.8630,912.367.8803
2012,601,Appling County,0277,Appling County Primary School,E,PK-02,678 Blackshear Hwy ,Baxley,GA,31513-6709,678 Blackshear Hwy ,Baxley,31513-6709,Brenda,Harvey,,brenda.harvey@appling.k12.ga.us,912.367.8642,912.367.8141
2012,601,Appling County,1050,Altamaha Elementary School,E,PK-05,344 Altamaha School Rd,Baxley,GA,31513-2670,344 Altamaha School Rd,Baxley,31513-2670,Edith,Baxley,,edith.baxley@appling.k12.ga.us,912.367.3713,912.367.2609
2012,601,Appling County,5050,Fourth District Elementary School,E,PK-05,13396 Blackshear Hwy,Surrency,GA,31563-3114,13396 Blackshear Hwy,Surrency,31563-3114,Dr. Lynn,Overstreet,,greg.williams@appling.k12.ga.us,912.367.3250,912.367.0992
2012,602,Atkinson County,0103,Atkinson County High School,H,09-12,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,Al,Pollard,,apollard@atkinson.k12.ga.us,912.422.3267,912.422.7889
2012,602,Atkinson County,0111,Atkinson County Middle School,M,06-08,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,Anthony,Davis,,adavis@atkinson.k12.ga.us,912.422.3267,
2012,602,Atkinson County,0187,Willacoochee Elementary School,E,PK-05,430 Vickers St S,Willacoochee,GA,31650-2313,430 South Vickers Street ,Willachochee,31650,Bob,Brown,,bbrown@atkinson.k12.ga.us,912.534.5302,912.534.5337
