School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score
2012,644,DeKalb County,0199,DeKalb Alternative Night School,"09, 10, 11, 12",H,9,NA,NA,0,0,0,12.9
2012,705,Murray County,0108,Mountain Creek Academy School,"06, 07, 08, 09, 10, 11, 12",H,11.7,4.2,NA,0,0,0,18.7
2012,7991893,State Schools - Atlanta Area School for the Deaf,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,16.7,NA,NA,0,0,0,23.9
2012,7991893,State Schools - Atlanta Area School for the Deaf,1893,Atlanta Area School for the Deaf,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,16.8,NA,NA,0,0,0,24
2012,7991895,State Schools - Georgia School for the Deaf,ALL,All Schools,"KK, 01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,19.3,NA,NA,0,0,0,27.6
2012,7991895,State Schools - Georgia School for the Deaf,1895,Georgia School for the Deaf,"KK, 01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,19.3,NA,NA,0,0,0,27.6
2012,761,Atlanta Public Schools,2664,Crim High School,"09, 10, 11, 12",H,12.4,7.4,9.4,0,0,0,29.2
2012,726,Spalding County,0208,AZ Kelsey Academy,"09, 10, 11, 12",H,14.4,6.4,8.7,0,0,0,29.5
2012,7991895,State Schools - Georgia School for the Deaf,ALL,All Schools,"KK, 01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,19.6,7.5,NA,0,0,0,31.9
2012,627,Chattooga County,0111,Crossroads Alternative School,"07, 08, 09, 10, 11, 12",H,23.5,3.8,NA,0,,0,32.1
2012,614,Brooks County,0112,Academic Enhancement Program,"06, 07, 08, 09, 10, 11, 12",H,20.7,6.8,NA,0,0,0,32.4
2012,676,Houston County,3050,Elberta Open Campus High School,"09, 10, 11, 12",H,24.5,5.4,3.8,0,0,0,33.7
2012,761,Atlanta Public Schools,0403,APS-Forrest Hills Academey,"06, 07, 08, 09, 10, 11",H,19.9,6.3,7.5,0,0,0,33.7
2012,792,Valdosta City,0111,Pinevale Learning Center,"06, 07, 08, 09, 10, 11, 12",H,21.1,8,NA,0,0,0,34.2
2012,772,Dalton City,0110,Morris Innovative High School,"09, 10, 11, 12",H,20.1,7.9,6.6,0,0,0,34.6
2012,736,Thomas County,0100,Bishop Hall Charter School,"09, 10, 11, 12",H,23,7.2,NA,0,0,0,35.5
2012,715,Polk County,0207,Harpst Academy,"04, 05, 06, 07, 08, 09, 10, 11",M,24.5,5.8,NA,0,0,0,35.6
2012,7991895,State Schools - Georgia School for the Deaf,1895,Georgia School for the Deaf,"KK, 01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,24.2,7.5,NA,0,0,0,37.3
2012,610,Berrien County,0106,Berrien Academy Performance Learning Center,"09, 10, 11, 12",H,22.9,9.2,NA,0,0,0,37.8
2012,792,Valdosta City,0111,Pinevale Learning Center,"06, 07, 08, 09, 10, 11, 12",M,26.4,5.3,NA,0.5,0,0.5,37.8
2012,644,DeKalb County,0500,DeKalb Alternative School,"04, 05, 06, 07, 08, 09, 10, 11, 12",H,20.8,8.2,9.4,0,0,0,38.4
2012,644,DeKalb County,1100,International Student Center,"07, 08",M,26.7,4.4,7.5,0.5,0,0.5,39.1
2012,635,Colquitt County,0112,Colquitt County Achiecvement Center,"08, 09, 10, 11, 12",H,27.2,6.4,NA,0,,0,39.5
2012,622,Carroll County,0112,KidsPeace,"06, 07, 08, 09, 10, 11",M,27.7,NA,NA,0,0,0,39.6
2012,644,DeKalb County,0112,Destiny Achievers Academy of Excellence,"09, 10, 11, 12",H,24.6,9.4,6.3,0,0,0,40.3
2012,7991893,State Schools - Atlanta Area School for the Deaf,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,26,8.5,NA,0,0,0,40.6
2012,7991893,State Schools - Atlanta Area School for the Deaf,1893,Atlanta Area School for the Deaf,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,26,8.5,NA,0,0,0,40.6
2012,755,Whitfield County,0212,Phoenix High School,"09, 10, 11, 12",H,23.7,8.1,9.4,0,0,0,41.2
2012,761,Atlanta Public Schools,0405,University Community Academy,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",E,31,6.1,4.5,0,0,0,41.6
2012,7991893,State Schools - Atlanta Area School for the Deaf,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,29.4,NA,NA,0,0,0,42
2012,7991893,State Schools - Atlanta Area School for the Deaf,1893,Atlanta Area School for the Deaf,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,29.4,NA,NA,0,0,0,42
2012,667,Gwinnett County,0107,Gwinnett InterVention Education (GIVE) Center West,"06, 07, 08, 09, 10, 11, 12",H,21.4,7.1,13.8,0,0,0,42.3
2012,761,Atlanta Public Schools,3566,Scott Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,29.8,7,4.5,1,0,1,42.3
2012,776,Gainesville City,0210,Wood's Mill Academy,"07, 08, 09, 10, 11, 12",H,19.6,7.2,15,0.5,0,0.5,42.3
2012,761,Atlanta Public Schools,5067,Thomasville Heights Elementary School,"KK, 01, 02, 03, 04, 05",E,31.8,6.3,3.8,0.5,0,0.5,42.4
2012,611,Bibb County,0805,Riley Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,30.8,8,4.5,0.5,0,0.5,43.8
2012,706,Muscogee County,3060,Forrest Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,29.5,7,6.8,0.5,0,0.5,43.8
2012,675,Henry County,0195,Patrick Henry High School,"06, 07, 08, 09, 10, 11, 12",H,27.1,7.4,9.4,0,0,0,43.9
2012,761,Atlanta Public Schools,1052,Bethune Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,33,6.7,4.5,0,0,0,44.2
2012,660,Fulton County,0383,McClarin Alternative School,"09, 10, 11, 12",H,26.6,7.7,10.3,0,0,0,44.6
2012,611,Bibb County,5054,Burghard Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,32.4,7.3,4.5,0.5,0,0.5,44.7
2012,611,Bibb County,0383,Williams Elementary School,"KK, 01, 02, 03, 04, 05",E,34.6,6,3.8,0.5,0,0.5,44.9
2012,647,Dougherty County,0105,Jackson Heights Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,32.2,8.6,3.8,0.5,0,0.5,45.1
