Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,Address
1,Accomack County Public Schools,5.10E+11,701,Accawmacke Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Clara B. Chandler ,P.O. Box 389,Accomac,VA,23301,757-787-8013,Membership,"Accawmacke Elementary, P.O. Box 389, Accomac, VA, 23301"
1,Accomack County Public Schools,5.10E+11,540,Arcadia High,9,12,Local Education Agency,Public school - Regular,High,4X4,Rose  Taylor ,PO Box 69,Oak Hall,VA,23416,757-824-5613,Membership,"Arcadia High, PO Box 69, Oak Hall, VA, 23416"
1,Accomack County Public Schools,5.10E+11,704,Arcadia Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Brian  Tupper ,P. O. Box 220,Oak Hall,VA,23416,757-824-4862,Membership,"Arcadia Middle, P. O. Box 220, Oak Hall, VA, 23416"
1,Accomack County Public Schools,5.10E+11,541,Badger Vocational Education Center - North,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,PO Box 69,Oak Hall,VA,23416,757-824-6386,Non-Membership,"Badger Vocational Education Center - North, PO Box 69, Oak Hall, VA, 23416"
1,Accomack County Public Schools,5.10E+11,71,Badger Vocational Education Center - South,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,P.O. Box 302,Onley,VA,23418,757-787-4522,Non-Membership,"Badger Vocational Education Center - South, P.O. Box 302, Onley, VA, 23418"
1,Accomack County Public Schools,5.10E+11,80,Chincoteague Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Karen  Riner ,6078 Hallie Whealton Smith Dr,Chincoteague,VA,23336,757-336-5545,Membership,"Chincoteague Elementary, 6078 Hallie Whealton Smith Dr, Chincoteague, VA, 23336"
1,Accomack County Public Schools,5.10E+11,580,Chincoteague High,6,12,Local Education Agency,Public school - Regular,Combined,4X4,Mr. Warren C. Holland ,4586 Main St,Chincoteague,VA,23336,757-336-6166,Membership,"Chincoteague High, 4586 Main St, Chincoteague, VA, 23336"
1,Accomack County Public Schools,5.10E+11,600,Kegotank Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Jennifer  Annis ,PO Box 28,Mappsville,VA,23407,757-824-4756,Membership,"Kegotank Elementary, PO Box 28, Mappsville, VA, 23407"
1,Accomack County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,6 College Avenue,Onancock,VA,23417,757-787-7765,Membership,"Local or Regional Jail, 6 College Avenue, Onancock, VA, 23417"
1,Accomack County Public Schools,5.10E+11,702,Metompkin Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,24501 Parksley Rd,Parksley,VA,23421,757-665-1299,Membership,"Metompkin Elementary, 24501 Parksley Rd, Parksley, VA, 23421"
1,Accomack County Public Schools,5.10E+11,70,Nandua High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Brian  Patterson ,26350 Lankford Highway,Onley,VA,23418,757-787-4514,Membership,"Nandua High, 26350 Lankford Highway, Onley, VA, 23418"
1,Accomack County Public Schools,5.10E+11,703,Nandua Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. John  Killmon ,20330 Warrior Dr.,Onley,VA,23418,757-787-7037,Membership,"Nandua Middle, 20330 Warrior Dr., Onley, VA, 23418"
1,Accomack County Public Schools,5.10E+11,590,Pungoteague Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Wandnetta  McCray ,28480 Bobtown Rd,Melfa,VA,23410,757-787-4032,Membership,"Pungoteague Elementary, 28480 Bobtown Rd, Melfa, VA, 23410"
1,Accomack County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
1,Accomack County Public Schools,5.10E+11,530,Tangier Combined,KG,12,Local Education Agency,Public school - Regular,Combined,4X4,Dr. Nina  Pruitt ,PO Box 245,Tangier,VA,23440,757-891-2315,Membership,"Tangier Combined, PO Box 245, Tangier, VA, 23440"
2,Albemarle County Public Schools,5.10E+11,160,Agnor-Hurt Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Michele  Del Gallo Castner ,3201 Berkmar Drive,Charlottesville,VA,22901,434-973-5211,Membership,"Agnor-Hurt Elementary, 3201 Berkmar Drive, Charlottesville, VA, 22901"
2,Albemarle County Public Schools,5.10E+11,1060,Albemarle County Community Public Charter School,6,8,Local Education Agency,Public school - Charter,Middle,4X4,Ms. E. Ashby  Kindler ,901 Rose Hill Drive,Charlottesville,VA,22903,434-972-1607,Membership,"Albemarle County Community Public Charter School, 901 Rose Hill Drive, Charlottesville, VA, 22903"
2,Albemarle County Public Schools,5.10E+11,880,Albemarle High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Jay  Thomas ,2775 Hydraulic Road,Charlottesville,VA,22901,434-975-9300,Membership,"Albemarle High, 2775 Hydraulic Road, Charlottesville, VA, 22901"
2,Albemarle County Public Schools,5.10E+11,1053,Baker-Butler Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. David  Cushman ,2740 Proffit Road,Charlottesville,VA,22911,434-974-7777,Membership,"Baker-Butler Elementary, 2740 Proffit Road, Charlottesville, VA, 22911"
2,Albemarle County Public Schools,5.10E+11,900,Benjamin F. Yancey Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Craig  Dommer ,7625 Porters Road,Esmont,VA,22937,434-974-8060,Membership,"Benjamin F. Yancey Elementary, 7625 Porters Road, Esmont, VA, 22937"
2,Albemarle County Public Schools,5.10E+11,100,Broadus Wood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kendra  King ,185 Buck Mountain Road,Earlysville,VA,22936,434-973-3865,Membership,"Broadus Wood Elementary, 185 Buck Mountain Road, Earlysville, VA, 22936"
2,Albemarle County Public Schools,5.10E+11,941,Brownsville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,India  Haun ,5870 Rockfish Gap Turnpike,Crozet,VA,22932,434-823-4658,Membership,"Brownsville Elementary, 5870 Rockfish Gap Turnpike, Crozet, VA, 22932"
2,Albemarle County Public Schools,5.10E+11,340,Crozet Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Gwedette  Crummie ,1407 Crozet Avenue,Crozet,VA,22932,434-823-4800,Membership,"Crozet Elementary, 1407 Crozet Avenue, Crozet, VA, 22932"
2,Albemarle County Public Schools,5.10E+11,10,Hollymead Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Nancy  Teel ,2775 Powell Creek Drive,Charlottesville,VA,22911,434-973-8301,Membership,"Hollymead Elementary, 2775 Powell Creek Drive, Charlottesville, VA, 22911"
2,Albemarle County Public Schools,5.10E+11,950,Jack Jouett Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Ms. Kathryn  Baylor ,210 Lambs Lane,Charlottesville,VA,22901,434-975-9320,Membership,"Jack Jouett Middle, 210 Lambs Lane, Charlottesville, VA, 22901"
2,Albemarle County Public Schools,5.10E+11,69,Jackson P. Burley Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Jim  Asher ,901 Rose Hill Drive,Charlottesville,VA,22903,434-295-5101,Membership,"Jackson P. Burley Middle, 901 Rose Hill Drive, Charlottesville, VA, 22903"
