School Year,Division,School,Subject Area,Pass Rate
2011-2012,Accomack County ,Arcadia Middle ,Mathematics,59.86%
2011-2012,Alleghany County ,Boiling Spring Elementary,Mathematics,81.03%
2011-2012,Alleghany County ,Falling Spring Elementary,Mathematics,68.92%
2011-2012,Augusta County ,Ladd Elementary,Mathematics,75.00%
2011-2012,Buckingham County ,Buckingham Primary,Mathematics,50.00%
2011-2012,Buckingham County ,Dillwyn Elementary,Mathematics,47.64%
2011-2012,Buckingham County ,Dillwyn Primary,Mathematics,60.00%
2011-2012,Buckingham County ,Gold Hill Elementary,Mathematics,58.23%
2011-2012,Carroll County ,Carroll County Intermediate,Mathematics,59.56%
2011-2012,Carroll County ,Woodlawn School,Mathematics,68.15%
2011-2012,Danville City ,Edwin A. Gibson Middle,Mathematics,65.52%
2011-2012,Danville City ,Irvin W. Taylor Elementary,Mathematics,45.65%
2011-2012,Danville City ,W. Townes Lea Elementary,Mathematics,58.87%
2011-2012,Danville City ,Woodrow Wilson Elementary,Mathematics,77.00%
2011-2012,Dickenson County ,Clintwood Elementary,Mathematics,63.28%
2011-2012,Dickenson County ,Ervinton High,Mathematics,27.46%
2011-2012,Dinwiddie County ,Dinwiddie Junior High,Mathematics,47.33%
2011-2012,Dinwiddie County ,Dinwiddie Senior High,Mathematics,31.54%
2011-2012,Fairfax County ,South County Secondary,Mathematics,72.77%
2011-2012,Fairfax County ,Woodson Adult High,Mathematics,82.35%
2011-2012,Franklin County ,Center for Applied Technology & Career Exploration ,Mathematics,85.11%
2011-2012,Franklin County ,Franklin County High,Mathematics,56.79%
2011-2012,Giles County ,Eastern Elementary/Middle ,Mathematics,76.43%
2011-2012,Giles County ,Narrows Elementary/Middle ,Mathematics,74.03%
2011-2012,Gloucester County ,Thomas C. Walker Elementary,Mathematics,84.72%
2011-2012,Hampton City ,Christopher C. Kraft Elementary ,Mathematics,70.59%
2011-2012,Hampton City ,Luther W. Machen Elementary ,Mathematics,38.29%
2011-2012,Hampton City ,Merrimack Elementary,Mathematics,41.94%
2011-2012,Hanover County ,Washington-Henry Elementary ,Mathematics,86.09%
2011-2012,Henrico County ,Arthur Ashe Jr. Elementary ,Mathematics,88.21%
2011-2012,Henrico County ,Greenwood Elementary ,Mathematics,75.96%
2011-2012,Henrico County ,Holman Middle ,Mathematics,89.78%
2011-2012,Henrico County ,Hungary Creek Middle ,Mathematics,68.14%
2011-2012,Henry County ,Carver Elementary ,Mathematics,68.47%
2011-2012,Henry County ,Fieldale-Collinsville Middle ,Mathematics,66.49%
2011-2012,Henry County ,Laurel Park Middle ,Mathematics,63.73%
2011-2012,Henry County ,Mount Olivet Elementary ,Mathematics,58.06%
2011-2012,King George County ,Sealston Elementary ,Mathematics,61.83%
2011-2012,Lee County ,Ewing Elementary,Mathematics,67.92%
2011-2012,Lee County ,Keokee Elementary,Mathematics,41.67%
2011-2012,Lee County ,Stickleyville Elementary,Mathematics,73.17%
2011-2012,Loudoun County ,Belmont Station Elementary ,Mathematics,85.65%
2011-2012,Loudoun County ,Briar Woods High ,Mathematics,64.09%
2011-2012,Loudoun County ,Freedom High ,Mathematics,51.77%
2011-2012,Loudoun County ,John W. Tolbert Jr. Elementary ,Mathematics,70.02%
2011-2012,Loudoun County ,Legacy Elementary ,Mathematics,79.68%
2011-2012,Loudoun County ,Mercer Middle ,Mathematics,67.98%
2011-2012,Loudoun County ,Newton-Lee Elementary ,Mathematics,85.75%
2011-2012,Loudoun County ,Smart's Mill Middle ,Mathematics,70.37%
2011-2012,Lynchburg City ,Dearington Elementary/Innovation ,Mathematics,40.91%
2011-2012,Lynchburg City ,E.C. Glass High ,Mathematics,40.46%
2011-2012,Lynchburg City ,Paul Laurence Dunbar Middle for Innovation ,Mathematics,49.27%
2011-2012,Manassas City ,Grace E. Metz Middle ,Mathematics,49.81%
2011-2012,Martinsville City ,Albert Harris Elementary,Mathematics,47.13%
2011-2012,Martinsville City ,Martinsville High,Mathematics,33.59%
2011-2012,Martinsville City ,Martinsville Middle,Mathematics,61.93%
2011-2012,Mecklenburg County ,LaCrosse Elementary ,Mathematics,51.50%
2011-2012,New Kent County ,New Kent Elementary ,Mathematics,75.00%
2011-2012,New Kent County ,New Kent High ,Mathematics,49.39%
2011-2012,New Kent County ,New Kent Middle ,Mathematics,73.43%
2011-2012,Newport News City ,Achievable Dream Middle/High ,Mathematics,31.19%
2011-2012,Newport News City ,B.C. Charles Elementary ,Mathematics,62.42%
2011-2012,Newport News City ,B.T. Washington Middle ,Mathematics,74.48%
2011-2012,Newport News City ,George J. McIntosh Elementary ,Mathematics,55.45%
2011-2012,Newport News City ,J.M. Dozier Middle ,Mathematics,61.40%
2011-2012,Newport News City ,L.F. Palmer Elementary ,Mathematics,57.25%
2011-2012,Newport News City ,R.O. Nelson Elementary ,Mathematics,81.14%
2011-2012,Norfolk City ,B.T. Washington High ,Mathematics,19.85%
2011-2012,Norfolk City ,Crossroads Elementary,Mathematics,68.25%
2011-2012,Norfolk City ,Ghent Elementary,Mathematics,78.34%
2011-2012,Norfolk City ,Lake Taylor High ,Mathematics,30.95%
2011-2012,Norfolk City ,"P.B. Young, Sr. Elementary ",Mathematics,38.10%
2011-2012,Northampton County ,Northampton High,Mathematics,45.37%
2011-2012,Norton City ,J.I. Burton High ,Mathematics,45.53%
2011-2012,Orange County ,Gordon Barbour Elementary,Mathematics,77.27%
2011-2012,Orange County ,Orange County High ,Mathematics,52.04%
2011-2012,Patrick County ,Meadows of Dan Elementary ,Mathematics,60.66%
2011-2012,Pittsylvania County ,Brosville Elementary ,Mathematics,75.86%
2011-2012,Portsmouth City ,Brighton Elementary ,Mathematics,51.45%
2011-2012,Prince George County ,J.E.J. Moore Middle ,Mathematics,73.09%
2011-2012,Prince George County ,N.B. Clements Junior High ,Mathematics,59.12%
2011-2012,Prince William County ,Battlefield High ,Mathematics,65.25%
2011-2012,Prince William County ,Freedom High ,Mathematics,43.18%
2011-2012,Prince William County ,Mary Williams Elementary ,Mathematics,75.12%
2011-2012,Pulaski County ,Pulaski Elementary ,Mathematics,77.02%
2011-2012,Richmond City ,Armstrong High ,Mathematics,20.38%
2011-2012,Richmond City ,Clark Springs Elementary,Mathematics,88.03%
2011-2012,Richmond City ,Martin Luther King Jr. Middle ,Mathematics,13.32%
2011-2012,Richmond City ,Richmond Alternative ,Mathematics,25.54%
2011-2012,Richmond City ,Summer Hill/Ruffin Road Elementary,Mathematics,57.40%
2011-2012,Rockbridge County ,Maury River Middle,Mathematics,64.91%
2011-2012,Rockbridge County ,Natural Bridge Elementary,Mathematics,62.50%
2011-2012,Rockbridge County ,Rockbridge County High ,Mathematics,50.85%
2011-2012,Rockbridge County ,Rockbridge Middle,Mathematics,77.99%
2011-2012,Smyth County ,Marion Intermediate,Mathematics,57.92%
2011-2012,Spotsylvania County ,Riverbend High ,Mathematics,58.63%
2011-2012,Stafford County ,Margaret Brent Elementary ,Mathematics,70.86%
2011-2012,Stafford County ,Mountain View High ,Mathematics,61.46%
2011-2012,Suffolk City ,Booker T. Washington Elementary,Mathematics,55.36%
2011-2012,Sussex County ,Ellen W. Chambliss Elementary,Mathematics,56.82%
2011-2012,Sussex County ,Jefferson Elementary,Mathematics,54.29%
2011-2012,Sussex County ,Sussex Central Middle,Mathematics,52.29%
2011-2012,Winchester City ,Virginia Avenue Charlotte Dehart Elementary ,Mathematics,47.51%
2011-2012,York County ,Mount Vernon Elementary ,Mathematics,85.10%
2011-2012,Caroline County ,Lewis & Clark Elementary,Mathematics,77.90%
2011-2012,Richmond City ,Patrick Henry School Of Science And Arts,Mathematics,48.21%
2011-2012,Richmond City ,Miles Jones Elementary,Mathematics,46.79%
2011-2012,Richmond City ,Linwood Holton Elementary,Mathematics,70.13%
2011-2012,Richmond City ,Lucille M. Brown Middle,Mathematics,49.65%
2011-2012,Fairfax County ,Laurel Hill Elementary,Mathematics,70.74%
2011-2012,Fairfax County ,Coates Elementary,Mathematics,69.50%
2011-2012,Fairfax County ,Eagle View Elementary,Mathematics,79.62%
2011-2012,Fairfax County ,Powell Elementary,Mathematics,83.63%
2011-2012,Fairfax County ,Lorton Station Elementary,Mathematics,79.57%
2011-2012,Fairfax County ,Island Creek Elementary,Mathematics,74.50%
2011-2012,Fairfax County ,Colvin Run Elementary,Mathematics,89.85%
2011-2012,Fairfax County ,Liberty Middle,Mathematics,85.63%
2011-2012,Hanover County ,Liberty Middle,Mathematics,77.72%
2011-2012,Fairfax County ,McNair Elementary,Mathematics,87.94%
2011-2012,Fairfax County ,Daniels Run Elementary,Mathematics,71.32%
2011-2012,Fairfax County ,Westfield High,Mathematics,69.12%
2011-2012,Fairfax County ,Bull Run Elementary,Mathematics,83.01%
2011-2012,Fairfax County ,Fort Belvoir Elementary,Mathematics,72.66%
2011-2012,Fairfax County ,Carson Middle,Mathematics,94.03%
2011-2012,Fairfax County ,Mountain View Alternative High,Mathematics,79.69%
2011-2012,Fairfax County ,Halley Elementary,Mathematics,73.16%
2011-2012,Fairfax County ,Lane Elementary,Mathematics,73.79%
2011-2012,Fairfax County ,Centreville Elementary,Mathematics,81.08%
2011-2012,Fairfax County ,Deer Park Elementary,Mathematics,68.16%
2011-2012,Newport News City ,Deer Park Elementary,Mathematics,77.42%
2011-2012,Fairfax County ,Aldrin Elementary,Mathematics,68.92%
2011-2012,Fairfax County ,Bryant Alternative High,Mathematics,41.67%
2011-2012,Fairfax County ,Waples Mill Elementary,Mathematics,83.82%
2011-2012,Fairfax County ,Centre Ridge Elementary,Mathematics,73.43%
