PubId,Town Name,State,Subdomain,Full Region,WBS Code,Publish Date,DMA,Lat,Lng,Zip Codes
2,South Orange,NJ,southorange,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS6,US_NJ_SOUTHORANGE,2/4/09,newyork,40.748958,-74.259134,7079
3,Millburn-Short Hills,NJ,millburn,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS6,US_NJ_MLLBURN_SHRTHILLS,2/4/09,newyork,40.737084,-74.328859,"07041, 07078"
4,Maplewood,NJ,maplewood,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS6,US_NJ_MAPLEWOOD,2/4/09,newyork,40.7369,-74.267917,7040
6,Summit,NJ,summit,PATCHUS_SNJ1 PATCHUS_NNJ2_REG2 PATCHUS_NNJ2_REG2_CLS2,US_NJ_SUMMIT,8/18/09,newyork,40.712313,-74.361688,7901
7,Westfield,NJ,westfield,PATCHUS_SNJ1 PATCHUS_NNJ2_REG2 PATCHUS_NNJ2_REG2_CLS1,US_NJ_WESTFIELD,6/3/09,newyork,40.653296,-74.346276,7090
8,Scotch Plains-Fanwood,NJ,scotchplains,PATCHUS_SNJ1 PATCHUS_NNJ2_REG2 PATCHUS_NNJ2_REG2_CLS1,US_NJ_SCTCHPLNS_FANWOOD,6/10/09,newyork,40.639568,-74.36695,"07023, 07076"
10,Ridgewood,NJ,ridgewood,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS5,US_NJ_RIDGEWOOD,10/7/09,newyork,40.981558,-74.113324,"07450, 07452"
11,New Canaan,CT,newcanaan,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS2,US_CT_NEWCANAAN,8/3/09,newyork,41.162773,-73.502115,6840
12,Darien,CT,darien,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS2,US_CT_DARIEN,8/18/09,newyork,41.045093,-73.480733,6820
13,Fairfield,CT,fairfield,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS5,US_CT_FAIRFIELD,3/31/10,hartford,41.173196,-73.27831,"06824, 06825"
14,Wilton,CT,wilton,PATCHUS_HVF2 PATCHUS_HVF2_REG1 PATCHUS_HVF2_REG1_CLS5,US_CT_WILTON,9/9/09,newyork,41.209446,-73.4409,6897
15,Wyckoff,NJ,wyckoff,PATCHUS_NNJ3 PATCHUS_NNJ1_REG2 PATCHUS_NNJ1_REG2_CLS1,US_NJ_WYCKOFF,9/23/09,newyork,40.998494,-74.16469,"07481, 07417"
16,Cranford,NJ,cranford,PATCHUS_SNJ1 PATCHUS_NNJ2_REG2 PATCHUS_NNJ2_REG2_CLS1,US_NJ_CRANFORD,9/2/09,newyork,40.655931,-74.304192,7016
17,Ridgefield,CT,ridgefield,PATCHUS_HVF2 PATCHUS_CCT1_REG2 PATCHUS_CCT1_REG2_CLS5,US_CT_RIDGEFIELD,10/28/09,newyork,41.307375,-73.494714,6877
18,Rye,NY,rye,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS1,US_NY_RYE,12/22/09,newyork,40.964404,-73.676803,"10573, 10580"
19,Harrison,NY,harrison,PATCHUS_HVF2 PATCHUS_HVF1_REG1 PATCHUS_HVF1_REG1_CLS5,US_NY_HARRISON,12/29/09,newyork,41.019464,-73.71929,"10528, 10577, 10604"
